EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,WAGE,AGE,RACE,OCCUPATION,SECTOR,label
11.0,0,1,18.0,0,5.5,35.0,2,2,2,0
12.0,0,0,18.0,1,8.93,36.0,2,2,2,0
12.0,1,0,6.0,1,6.25,24.0,2,2,2,1
11.0,1,1,37.0,0,9.75,54.0,2,2,1,0
12.0,1,1,2.0,1,6.73,20.0,2,2,1,0
12.0,0,1,23.0,1,7.78,41.0,2,2,1,0
12.0,0,1,1.0,1,2.85,19.0,2,2,2,1
12.0,1,0,10.0,1,3.35,28.0,1,2,1,0
12.0,0,1,23.0,1,19.98,41.0,2,2,1,0
12.0,0,1,8.0,0,8.5,26.0,1,2,2,0
15.0,0,0,9.0,1,9.75,30.0,2,2,1,0
12.0,0,1,33.0,0,15.0,51.0,2,2,0,0
12.0,0,0,19.0,1,8.0,37.0,2,2,1,0
13.0,0,1,14.0,1,11.25,33.0,2,2,2,0
11.0,0,1,13.0,0,14.0,30.0,2,2,2,0
10.0,0,1,12.0,1,10.0,28.0,2,2,0,0
12.0,0,1,8.0,1,6.5,26.0,2,2,2,1
12.0,0,1,23.0,1,9.83,41.0,2,2,1,0
14.0,0,0,13.0,1,18.5,33.0,2,2,1,1
12.0,1,1,9.0,1,12.5,27.0,2,2,2,0
14.0,0,1,21.0,0,26.0,41.0,2,2,2,0
5.0,1,1,44.0,1,14.0,55.0,2,2,0,0
12.0,0,1,4.0,0,10.5,22.0,2,2,2,0
8.0,0,1,42.0,1,11.0,56.0,2,2,1,0
13.0,0,1,10.0,0,12.47,29.0,2,2,2,0
12.0,0,1,11.0,1,12.5,29.0,2,2,0,1
12.0,0,1,40.0,0,15.0,58.0,2,2,0,0
12.0,0,1,8.0,1,6.0,26.0,2,2,0,1
11.0,1,1,29.0,1,9.5,46.0,2,2,0,0
16.0,0,1,3.0,0,5.0,25.0,2,2,2,1
11.0,0,1,11.0,1,3.75,28.0,2,2,0,1
12.0,0,1,12.0,0,12.57,30.0,2,2,2,0
8.0,0,0,22.0,1,6.88,36.0,0,2,2,0
12.0,0,1,12.0,1,5.5,30.0,2,2,2,0
12.0,0,1,7.0,0,7.0,25.0,2,2,2,0
12.0,0,0,15.0,1,4.5,33.0,2,2,1,1
12.0,0,1,28.0,1,6.5,46.0,2,2,2,0
12.0,1,1,20.0,0,12.0,38.0,2,2,1,0
12.0,1,1,6.0,1,5.0,24.0,2,2,0,1
12.0,1,1,5.0,1,6.5,23.0,2,2,1,1
9.0,1,0,30.0,1,6.8,45.0,2,2,1,0
13.0,0,1,18.0,1,8.75,37.0,2,2,2,0
12.0,1,0,6.0,1,3.75,24.0,1,2,1,0
12.0,1,1,16.0,1,4.5,34.0,0,2,2,1
12.0,1,1,1.0,0,6.0,19.0,0,2,2,1
12.0,0,1,3.0,1,5.5,21.0,2,2,1,1
12.0,0,1,8.0,1,13.0,26.0,2,2,2,0
14.0,0,1,2.0,1,5.65,22.0,2,2,1,1
9.0,0,1,16.0,1,4.8,31.0,1,2,1,1
10.0,1,1,9.0,1,7.0,25.0,2,2,0,0
12.0,0,1,2.0,1,5.25,20.0,2,2,2,1
7.0,1,1,43.0,1,3.35,56.0,2,2,1,0
9.0,0,1,38.0,1,8.5,53.0,2,2,1,0
12.0,0,1,9.0,1,6.0,27.0,2,2,2,0
12.0,1,1,12.0,1,6.75,30.0,2,2,2,0
12.0,0,1,18.0,1,8.89,36.0,2,2,1,0
11.0,0,1,15.0,0,14.21,32.0,2,2,1,1
11.0,1,1,28.0,0,10.78,45.0,1,2,0,0
10.0,1,1,27.0,0,8.9,43.0,2,2,0,0
12.0,1,1,38.0,1,7.5,56.0,2,2,2,0
12.0,0,0,3.0,1,4.5,21.0,2,2,1,1
12.0,0,1,41.0,0,11.25,59.0,2,2,2,0
12.0,1,1,16.0,0,13.45,34.0,2,2,2,0
13.0,1,1,7.0,1,6.0,26.0,2,2,1,0
6.0,1,0,33.0,1,4.62,45.0,1,2,1,1
14.0,0,1,25.0,1,10.58,45.0,2,2,1,0
12.0,1,1,5.0,1,5.0,23.0,2,2,2,0
14.0,1,1,17.0,1,8.2,37.0,1,2,2,1
12.0,1,1,1.0,1,6.25,19.0,2,2,2,1
12.0,0,1,13.0,1,8.5,31.0,2,2,1,0
16.0,0,1,18.0,1,24.98,40.0,2,1,2,0
14.0,1,1,21.0,1,16.65,41.0,2,1,2,0
14.0,0,1,2.0,1,6.25,22.0,2,1,2,1
12.0,1,0,4.0,1,4.55,22.0,0,1,2,1
12.0,1,0,30.0,1,11.25,48.0,0,1,2,0
13.0,0,1,32.0,1,21.25,51.0,2,1,2,1
17.0,0,0,13.0,1,12.65,36.0,2,1,2,0
12.0,0,1,17.0,1,7.5,35.0,2,1,2,1
14.0,0,0,26.0,1,10.25,46.0,2,1,2,0
16.0,0,1,9.0,1,3.35,31.0,2,1,2,1
16.0,0,1,8.0,1,13.45,30.0,1,1,2,1
15.0,0,1,1.0,0,4.84,22.0,2,1,2,0
17.0,1,1,32.0,1,26.29,55.0,2,1,2,0
12.0,0,0,24.0,1,6.58,42.0,2,1,2,0
14.0,0,0,1.0,1,44.5,21.0,2,1,2,1
12.0,0,1,42.0,1,15.0,60.0,2,1,1,0
16.0,0,0,3.0,1,11.25,25.0,1,1,1,1
12.0,0,0,32.0,1,7.0,50.0,2,1,2,0
14.0,0,1,22.0,1,10.0,42.0,1,1,2,1
16.0,0,1,18.0,1,14.53,40.0,2,1,2,0
18.0,0,0,19.0,1,20.0,43.0,2,1,2,0
15.0,0,1,12.0,1,22.5,33.0,2,1,2,0
12.0,0,0,42.0,1,3.64,60.0,2,1,2,0
12.0,1,1,34.0,1,10.62,52.0,2,1,2,0
18.0,0,1,29.0,1,24.98,53.0,2,1,2,0
16.0,1,1,8.0,1,6.0,30.0,2,1,2,1
18.0,0,1,13.0,1,19.0,37.0,2,1,1,1
16.0,0,1,10.0,1,13.2,32.0,2,1,2,1
16.0,0,1,22.0,1,22.5,44.0,2,1,2,0
16.0,1,1,10.0,1,15.0,32.0,2,1,2,0
17.0,0,0,15.0,1,6.88,38.0,2,1,2,0
12.0,0,1,26.0,1,11.84,44.0,2,1,2,0
14.0,0,1,16.0,1,16.14,36.0,2,1,2,1
18.0,0,0,14.0,1,13.95,38.0,2,1,2,0
12.0,0,0,38.0,1,13.16,56.0,2,1,2,0
12.0,1,1,14.0,1,5.3,32.0,1,1,2,0
12.0,0,0,7.0,1,4.5,25.0,2,1,2,0
18.0,1,0,13.0,1,10.0,37.0,2,1,2,1
10.0,0,1,20.0,1,10.0,36.0,2,1,2,0
16.0,0,1,7.0,0,10.0,29.0,0,1,2,0
16.0,0,0,26.0,1,9.37,48.0,2,1,2,0
16.0,0,1,14.0,1,5.8,36.0,2,1,2,0
13.0,0,1,36.0,1,17.86,55.0,2,1,2,1
12.0,0,1,24.0,1,1.0,42.0,2,1,2,0
14.0,1,1,41.0,1,8.8,61.0,2,1,2,0
16.0,0,1,7.0,1,9.0,29.0,1,1,2,0
17.0,1,1,14.0,1,18.16,37.0,2,1,2,1
12.0,1,0,1.0,1,7.81,19.0,2,1,2,1
16.0,0,0,6.0,1,10.62,28.0,2,1,1,0
12.0,0,0,3.0,1,4.5,21.0,2,1,2,0
15.0,0,1,31.0,1,17.25,52.0,2,1,2,0
13.0,0,0,14.0,1,10.5,33.0,2,1,1,0
14.0,0,0,13.0,1,9.22,33.0,2,1,2,0
16.0,0,1,26.0,0,15.0,48.0,1,1,1,0
18.0,0,1,14.0,1,22.5,38.0,2,1,2,0
13.0,0,0,33.0,1,4.55,52.0,2,4,2,0
12.0,0,1,16.0,1,9.0,34.0,2,4,2,0
18.0,0,1,10.0,1,13.33,34.0,2,4,2,0
14.0,0,1,22.0,1,15.0,42.0,2,4,2,1
14.0,0,1,2.0,1,7.5,22.0,2,4,2,1
12.0,1,0,29.0,1,4.25,47.0,2,4,2,0
12.0,0,1,43.0,1,12.5,61.0,2,4,1,0
12.0,0,0,5.0,1,5.13,23.0,2,4,2,0
16.0,1,0,14.0,1,3.35,36.0,1,4,2,0
12.0,1,1,28.0,1,11.11,46.0,2,4,2,0
11.0,1,0,25.0,1,3.84,42.0,1,4,2,0
12.0,0,0,45.0,1,6.4,63.0,2,4,2,0
14.0,1,1,5.0,1,5.56,25.0,2,4,2,1
12.0,1,1,20.0,1,10.0,38.0,2,4,1,0
16.0,0,0,6.0,1,5.65,28.0,2,4,2,0
16.0,0,1,16.0,1,11.5,38.0,2,4,2,0
11.0,0,0,33.0,1,3.5,50.0,2,4,2,0
13.0,1,0,2.0,1,3.35,21.0,2,4,2,0
12.0,1,0,10.0,1,4.75,28.0,2,4,2,1
14.0,1,1,44.0,1,19.98,64.0,2,4,2,0
14.0,1,0,6.0,1,3.5,26.0,2,4,2,0
12.0,0,0,15.0,1,4.0,33.0,2,4,2,1
12.0,0,1,5.0,1,7.0,23.0,2,4,2,0
13.0,0,0,4.0,1,6.25,23.0,2,4,1,0
14.0,0,1,14.0,1,4.5,34.0,2,4,2,0
14.0,0,0,32.0,1,14.29,52.0,2,4,2,0
12.0,0,0,14.0,1,5.0,32.0,2,4,2,0
14.0,0,1,21.0,1,13.75,41.0,2,4,2,0
12.0,0,1,43.0,0,13.71,61.0,2,4,2,0
12.0,1,0,27.0,1,7.5,45.0,1,4,2,0
12.0,0,0,4.0,1,3.8,22.0,2,4,2,1
14.0,0,1,0.0,1,5.0,20.0,0,4,2,1
12.0,1,1,32.0,1,9.42,50.0,2,4,2,0
12.0,0,1,20.0,1,5.5,38.0,2,4,2,0
15.0,1,1,4.0,1,3.75,25.0,2,4,2,1
12.0,0,1,34.0,1,3.5,52.0,2,4,2,0
13.0,0,1,5.0,1,5.8,24.0,2,4,2,1
17.0,0,1,13.0,1,12.0,36.0,2,4,1,0
14.0,0,0,17.0,1,5.0,37.0,0,0,2,0
13.0,1,0,10.0,1,8.75,29.0,2,0,2,0
16.0,0,0,7.0,1,10.0,29.0,2,0,2,0
12.0,0,0,25.0,1,8.5,43.0,2,0,2,1
12.0,0,0,18.0,1,8.63,36.0,1,0,2,0
16.0,0,0,27.0,1,9.0,49.0,2,0,1,0
16.0,0,0,2.0,1,5.5,24.0,2,0,2,1
13.0,0,1,13.0,1,11.11,32.0,2,0,2,0
14.0,0,0,24.0,1,10.0,44.0,2,0,2,1
18.0,1,0,13.0,1,5.2,37.0,0,0,2,0
14.0,0,0,15.0,0,8.0,35.0,2,0,2,1
12.0,1,0,12.0,1,3.56,30.0,0,0,2,1
12.0,0,0,24.0,1,5.2,42.0,2,0,2,0
12.0,0,0,43.0,1,11.67,61.0,2,0,0,0
12.0,0,0,13.0,1,11.32,31.0,2,0,1,0
12.0,1,0,16.0,1,7.5,34.0,2,0,2,0
11.0,0,0,24.0,1,5.5,41.0,2,0,2,0
16.0,1,0,4.0,1,5.0,26.0,2,0,2,0
12.0,0,0,24.0,1,7.75,42.0,2,0,2,0
12.0,0,0,45.0,1,5.25,63.0,2,0,2,0
12.0,0,1,20.0,0,9.0,38.0,2,0,2,0
12.0,0,0,38.0,1,9.65,56.0,2,0,2,0
18.0,1,1,10.0,1,5.21,34.0,2,0,2,0
11.0,0,0,16.0,1,7.0,33.0,1,0,2,0
12.0,1,0,32.0,1,12.16,50.0,1,0,2,0
16.0,1,0,2.0,1,5.25,24.0,2,0,2,1
13.0,1,0,28.0,1,10.32,47.0,2,0,2,1
16.0,0,1,3.0,1,3.35,25.0,1,0,2,1
13.0,0,0,8.0,0,7.7,27.0,2,0,2,1
12.0,0,0,44.0,1,9.17,62.0,2,0,1,0
12.0,1,1,12.0,1,8.43,30.0,2,0,2,0
12.0,1,1,8.0,1,4.0,26.0,1,0,2,0
12.0,0,0,4.0,1,4.13,22.0,2,0,2,0
12.0,1,0,28.0,1,3.0,46.0,2,0,2,0
13.0,1,0,0.0,1,4.25,19.0,2,0,2,1
14.0,1,1,1.0,1,7.53,21.0,2,0,2,1
14.0,0,0,12.0,1,10.53,32.0,2,0,1,0
12.0,0,0,39.0,1,5.0,57.0,2,0,2,0
12.0,0,0,24.0,1,15.03,42.0,2,0,2,0
17.0,0,0,32.0,1,11.25,55.0,1,0,2,0
16.0,0,1,4.0,1,6.25,26.0,1,0,2,1
12.0,0,0,25.0,1,3.5,43.0,1,0,2,1
12.0,0,1,8.0,1,6.85,26.0,1,0,2,1
13.0,0,0,16.0,1,12.5,35.0,2,0,2,0
12.0,1,1,5.0,1,12.0,23.0,2,0,2,1
13.0,0,1,31.0,1,6.0,50.0,2,0,2,1
12.0,0,0,25.0,1,9.5,43.0,2,0,2,1
12.0,0,0,15.0,1,4.1,33.0,2,0,2,0
14.0,1,0,15.0,1,10.43,35.0,2,0,2,0
12.0,0,0,0.0,1,5.0,18.0,2,0,2,1
12.0,0,1,19.0,1,7.69,37.0,2,0,2,0
12.0,0,0,21.0,1,5.5,39.0,1,0,2,1
12.0,0,0,6.0,1,6.4,24.0,2,0,2,1
12.0,0,0,14.0,0,12.5,32.0,2,0,2,0
13.0,0,0,30.0,1,6.25,49.0,2,0,2,0
12.0,0,0,8.0,1,8.0,26.0,2,0,2,1
9.0,0,1,33.0,0,9.6,48.0,2,0,2,1
13.0,0,1,16.0,1,9.1,35.0,0,0,2,1
12.0,1,0,20.0,1,7.5,38.0,2,0,2,1
13.0,1,0,6.0,1,5.0,25.0,2,0,2,0
12.0,0,0,10.0,0,7.0,28.0,2,0,2,0
13.0,1,0,1.0,1,3.55,20.0,2,0,2,1
12.0,1,1,2.0,1,8.5,20.0,1,0,2,1
13.0,1,0,0.0,1,4.5,19.0,2,0,2,1
16.0,0,1,17.0,1,7.88,39.0,1,0,2,0
12.0,0,0,8.0,1,5.25,26.0,2,0,2,1
12.0,1,1,4.0,1,5.0,22.0,2,0,2,1
12.0,0,0,15.0,1,9.33,33.0,2,0,2,1
12.0,0,0,29.0,1,10.5,47.0,2,0,2,0
12.0,1,0,23.0,1,7.5,41.0,1,0,2,0
12.0,1,0,39.0,1,9.5,57.0,2,0,2,0
12.0,1,0,14.0,1,9.6,32.0,2,0,2,0
17.0,1,0,6.0,1,5.87,29.0,1,0,2,1
14.0,1,1,12.0,0,11.02,32.0,2,0,2,0
12.0,1,0,26.0,1,5.0,44.0,2,0,2,1
14.0,0,0,32.0,1,5.62,52.0,2,0,2,0
15.0,0,0,6.0,1,12.5,27.0,2,0,2,0
12.0,0,0,40.0,1,10.81,58.0,2,0,2,0
12.0,0,0,18.0,1,5.4,36.0,2,0,1,0
11.0,0,0,12.0,1,7.0,29.0,2,0,2,1
12.0,1,0,36.0,1,4.59,54.0,2,0,0,0
12.0,0,0,19.0,1,6.0,37.0,2,0,2,0
16.0,0,0,42.0,1,11.71,64.0,2,0,1,1
13.0,0,0,2.0,1,5.62,21.0,0,0,2,0
12.0,0,0,33.0,1,5.5,51.0,2,0,2,0
12.0,1,0,14.0,1,4.85,32.0,2,0,2,0
12.0,0,1,22.0,1,6.75,40.0,2,0,2,1
12.0,0,0,20.0,1,4.25,38.0,2,0,2,0
12.0,0,0,15.0,1,5.75,33.0,2,0,2,0
12.0,0,1,35.0,1,3.5,53.0,2,0,2,0
12.0,0,0,7.0,1,3.35,25.0,2,0,2,0
12.0,0,0,45.0,1,10.62,63.0,2,0,1,1
12.0,0,0,9.0,1,8.0,27.0,2,0,2,1
12.0,1,0,2.0,1,4.75,20.0,2,0,2,0
17.0,1,1,3.0,1,8.5,26.0,2,0,2,1
14.0,0,0,19.0,0,8.85,39.0,1,0,2,0
12.0,1,0,14.0,1,8.0,32.0,2,0,2,0
4.0,0,1,54.0,1,6.0,64.0,2,5,2,0
14.0,0,1,17.0,1,7.14,37.0,2,5,2,0
8.0,0,0,29.0,1,3.4,43.0,1,5,2,0
15.0,1,0,26.0,1,6.0,47.0,2,5,2,1
2.0,0,1,16.0,1,3.75,24.0,0,5,2,1
8.0,0,0,29.0,1,8.89,43.0,1,5,2,1
11.0,0,0,20.0,1,4.35,37.0,2,5,2,0
10.0,1,0,38.0,1,13.1,54.0,1,5,2,0
8.0,1,0,37.0,1,4.35,51.0,1,5,2,0
9.0,0,1,48.0,1,3.5,63.0,2,5,2,1
12.0,0,0,16.0,1,3.8,34.0,2,5,2,1
8.0,0,0,38.0,1,5.26,52.0,2,5,2,0
14.0,0,1,0.0,1,3.35,20.0,1,5,2,1
12.0,0,1,14.0,0,16.26,32.0,1,5,2,1
12.0,0,0,2.0,1,4.25,20.0,2,5,2,0
16.0,0,1,21.0,1,4.5,43.0,2,5,2,0
13.0,0,0,15.0,1,8.0,34.0,2,5,2,0
16.0,0,0,20.0,1,4.0,42.0,2,5,2,1
14.0,0,0,12.0,1,7.96,32.0,2,5,2,0
12.0,1,1,7.0,1,4.0,25.0,0,5,2,1
11.0,0,1,4.0,1,4.15,21.0,2,5,2,0
13.0,1,1,9.0,1,5.95,28.0,2,5,2,0
12.0,1,0,43.0,1,3.6,61.0,0,5,2,0
10.0,1,1,19.0,1,8.75,35.0,2,5,2,1
8.0,0,0,49.0,1,3.4,63.0,2,5,2,1
12.0,0,0,38.0,1,4.28,56.0,2,5,2,0
12.0,0,0,13.0,1,5.35,31.0,2,5,2,0
12.0,0,0,14.0,1,5.0,32.0,2,5,2,0
12.0,0,1,20.0,1,7.65,38.0,2,5,2,1
12.0,0,0,7.0,1,6.94,25.0,2,5,2,1
12.0,0,0,9.0,0,7.5,27.0,2,5,1,0
12.0,0,0,6.0,1,3.6,24.0,2,5,2,1
12.0,1,0,5.0,1,1.75,23.0,2,5,2,0
13.0,1,0,1.0,1,3.45,20.0,1,5,2,1
14.0,0,1,22.0,0,9.63,42.0,2,5,2,0
12.0,0,0,24.0,1,8.49,42.0,2,5,2,0
12.0,0,0,15.0,0,8.99,33.0,2,5,2,1
11.0,1,0,8.0,1,3.65,25.0,2,5,2,0
11.0,1,0,17.0,1,3.5,34.0,2,5,2,0
12.0,1,1,2.0,1,3.43,20.0,1,5,2,1
12.0,1,1,20.0,1,5.5,38.0,2,5,2,0
12.0,0,1,26.0,0,6.93,44.0,2,5,2,0
10.0,1,0,37.0,1,3.51,53.0,1,5,2,0
12.0,0,0,41.0,1,3.75,59.0,2,5,2,1
12.0,0,0,27.0,1,4.17,45.0,2,5,2,0
12.0,0,0,5.0,0,9.57,23.0,2,5,2,0
14.0,0,1,16.0,1,14.67,36.0,1,5,2,0
14.0,0,0,19.0,1,12.5,39.0,2,5,2,0
12.0,0,1,10.0,1,5.5,28.0,2,5,2,0
13.0,1,1,1.0,0,5.15,20.0,2,5,2,1
12.0,0,0,43.0,0,8.0,61.0,1,5,2,0
13.0,0,1,3.0,1,5.83,22.0,1,5,2,1
12.0,0,0,0.0,1,3.35,18.0,2,5,2,1
12.0,1,0,26.0,1,7.0,44.0,2,5,2,0
10.0,0,0,25.0,0,10.0,41.0,2,5,2,0
12.0,0,0,15.0,1,8.0,33.0,2,5,2,0
14.0,1,0,10.0,1,6.88,30.0,2,5,2,1
11.0,0,0,45.0,0,5.55,62.0,2,5,2,1
11.0,0,1,3.0,1,7.5,20.0,1,5,2,1
8.0,0,1,47.0,0,8.93,61.0,0,5,2,0
16.0,0,0,6.0,1,9.0,28.0,1,5,2,0
10.0,1,0,33.0,1,3.5,49.0,2,5,2,1
16.0,0,1,3.0,1,5.77,25.0,2,5,1,1
14.0,0,1,4.0,0,25.0,24.0,0,5,2,1
14.0,0,1,34.0,0,6.85,54.0,1,5,2,0
11.0,1,1,39.0,1,6.5,56.0,2,5,2,0
12.0,1,0,17.0,1,3.75,35.0,2,5,2,0
9.0,0,1,47.0,0,3.5,62.0,2,5,2,0
11.0,0,1,2.0,1,4.5,19.0,2,5,2,1
13.0,1,1,0.0,1,2.01,19.0,2,5,2,1
14.0,0,0,24.0,1,4.17,44.0,2,5,2,1
12.0,0,1,25.0,0,13.0,43.0,1,5,2,0
14.0,0,0,6.0,1,3.98,26.0,2,5,2,1
12.0,0,0,10.0,1,7.5,28.0,2,5,2,1
12.0,0,0,33.0,1,13.12,51.0,1,5,2,0
12.0,0,1,12.0,1,4.0,30.0,2,5,2,1
12.0,1,0,9.0,1,3.95,27.0,2,5,2,0
11.0,1,1,18.0,0,13.0,35.0,2,5,2,0
12.0,0,1,10.0,1,9.0,28.0,2,5,2,0
8.0,1,0,45.0,1,4.55,59.0,2,5,2,1
9.0,0,0,46.0,0,9.5,61.0,2,5,2,0
7.0,1,1,14.0,1,4.5,27.0,0,5,2,0
11.0,0,0,36.0,1,8.75,53.0,2,5,2,1
13.0,0,1,34.0,0,10.0,53.0,2,3,0,0
18.0,0,1,15.0,1,18.0,39.0,2,3,2,0
17.0,0,1,31.0,1,24.98,54.0,2,3,1,0
16.0,0,0,6.0,1,12.05,28.0,2,3,1,1
14.0,1,1,15.0,1,22.0,35.0,2,3,2,0
12.0,0,1,30.0,1,8.75,48.0,2,3,2,0
18.0,0,1,8.0,1,22.2,32.0,2,3,2,0
18.0,0,1,5.0,1,17.25,29.0,2,3,1,0
17.0,0,0,3.0,0,6.0,26.0,2,3,2,1
13.0,1,1,17.0,1,8.06,36.0,2,3,2,0
16.0,0,1,5.0,0,9.24,27.0,1,3,1,0
14.0,0,0,10.0,1,12.0,30.0,2,3,2,0
15.0,0,0,33.0,1,10.61,54.0,2,3,2,1
18.0,0,1,3.0,1,5.71,27.0,2,3,2,0
16.0,0,0,0.0,1,10.0,18.0,2,3,2,1
16.0,1,1,13.0,1,17.5,35.0,1,3,2,0
18.0,0,1,12.0,1,15.0,36.0,2,3,2,0
16.0,0,0,6.0,1,7.78,28.0,2,3,2,0
17.0,0,1,7.0,1,7.8,30.0,2,3,2,0
16.0,1,1,14.0,0,10.0,36.0,2,3,2,0
17.0,0,0,5.0,1,24.98,28.0,2,3,2,1
15.0,1,0,10.0,1,10.28,31.0,2,3,2,0
18.0,0,0,11.0,1,15.0,35.0,2,3,2,0
17.0,0,0,24.0,1,12.0,47.0,2,3,2,0
16.0,0,1,9.0,1,10.58,31.0,2,3,1,1
18.0,1,1,12.0,1,5.85,36.0,2,3,2,0
18.0,0,1,19.0,1,11.22,43.0,2,3,2,0
14.0,0,0,14.0,1,8.56,34.0,2,3,2,0
16.0,0,0,17.0,1,13.89,39.0,2,3,1,1
18.0,1,1,7.0,1,5.71,31.0,2,3,2,1
18.0,0,1,7.0,1,15.79,31.0,2,3,2,0
16.0,0,0,22.0,1,7.5,44.0,2,3,2,0
12.0,0,0,28.0,1,11.25,46.0,2,3,2,0
