V0_tanh,V1_tanh,V6_tanh,V7_tanh,V16_tanh,V17_tanh,V38_tanh,V2_power3,V3_power3,V10_power3,V11_power3,V20_power3,V21_power3,V30_power3,V31_power3,V4_sqrt,V5_sqrt,V12_sqrt,V13_sqrt,V22_sqrt,V23_sqrt,V32_sqrt,V33_sqrt,V8,V9,V18,V19,V26,V27,V34,V36,V37,V14,V15,V24,V25,V40,V41,V42,V43,V28_log,V29_log,V35_log,V39_log,label
1.0,1.0,1.0,1.0,1.0,1.0,1.0,216000.0,238328.0,389017.0,314432.0,300763.0,405224.0,405224.0,389017.0,7.615773105863909,7.745966692414834,8.246211251235321,8.366600265340756,7.483314773547883,7.745966692414834,7.810249675906654,7.681145747868608,69.0,69.0,63.0,64.0,68.0,69.0,68.0,64.0,68.0,69.0,65.0,54.0,44.0,64.0,61.0,54.0,49.0,4.219507705176107,4.219507705176107,4.204692619390966,4.330733340286331,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,274625.0,456533.0,438976.0,373248.0,474552.0,343000.0,493039.0,456533.0,8.12403840463596,8.366600265340756,8.54400374531753,8.717797887081348,8.717797887081348,8.54400374531753,8.660254037844387,8.246211251235321,72.0,67.0,69.0,61.0,62.0,51.0,72.0,69.0,63.0,74.0,71.0,70.0,70.0,73.0,73.0,64.0,67.0,4.248495242049359,4.219507705176107,4.2626798770413155,4.110873864173311,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,474552.0,389017.0,493039.0,389017.0,456533.0,474552.0,314432.0,421875.0,8.246211251235321,8.18535277187245,8.888194417315589,8.660254037844387,8.660254037844387,8.717797887081348,7.0710678118654755,7.874007874011811,77.0,70.0,81.0,79.0,65.0,67.0,62.0,47.0,49.0,74.0,71.0,66.0,76.0,74.0,70.0,51.0,48.0,4.204692619390966,4.04305126783455,4.07753744390572,4.174387269895637,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,300763.0,287496.0,357911.0,357911.0,314432.0,274625.0,405224.0,373248.0,8.246211251235321,7.745966692414834,8.888194417315589,8.888194417315589,8.48528137423857,8.18535277187245,8.18535277187245,7.681145747868608,70.0,67.0,63.0,54.0,56.0,50.0,68.0,73.0,68.0,70.0,64.0,59.0,52.0,77.0,69.0,65.0,62.0,4.204692619390966,4.110873864173311,4.189654742026425,4.219507705176107,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,314432.0,405224.0,389017.0,389017.0,421875.0,357911.0,405224.0,421875.0,8.246211251235321,8.306623862918075,8.12403840463596,8.426149773176359,7.745966692414834,7.874007874011811,7.810249675906654,7.810249675906654,68.0,67.0,61.0,66.0,65.0,67.0,63.0,68.0,65.0,64.0,67.0,64.0,66.0,69.0,67.0,61.0,59.0,4.189654742026425,4.127134385045092,4.189654742026425,4.127134385045092,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,389017.0,274625.0,314432.0,300763.0,456533.0,328509.0,373248.0,274625.0,8.306623862918075,7.483314773547883,8.366600265340756,7.874007874011811,8.246211251235321,7.681145747868608,7.615773105863909,7.14142842854285,64.0,56.0,65.0,59.0,65.0,60.0,66.0,71.0,62.0,70.0,58.0,64.0,55.0,76.0,65.0,62.0,56.0,4.248495242049359,4.0943445622221,4.07753744390572,4.0943445622221,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,287496.0,287496.0,531441.0,195112.0,551368.0,185193.0,300763.0,389017.0,8.717797887081348,6.782329983125268,8.18535277187245,7.615773105863909,8.717797887081348,7.3484692283495345,7.874007874011811,7.416198487095663,68.0,52.0,76.0,51.0,69.0,41.0,60.0,65.0,56.0,68.0,32.0,58.0,30.0,73.0,36.0,51.0,28.0,4.07753744390572,4.07753744390572,4.007333185232471,3.784189633918261,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,328509.0,373248.0,314432.0,357911.0,373248.0,300763.0,438976.0,456533.0,8.18535277187245,7.874007874011811,8.54400374531753,8.831760866327848,8.48528137423857,8.246211251235321,8.54400374531753,8.12403840463596,68.0,53.0,70.0,61.0,61.0,53.0,66.0,75.0,70.0,64.0,58.0,57.0,55.0,78.0,68.0,64.0,58.0,4.189654742026425,4.0943445622221,4.060443010546419,4.204692619390966,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,287496.0,185193.0,405224.0,287496.0,512000.0,405224.0,389017.0,314432.0,8.602325267042627,8.660254037844387,8.426149773176359,8.06225774829855,8.426149773176359,7.937253933193772,7.681145747868608,7.681145747868608,65.0,59.0,71.0,72.0,62.0,66.0,63.0,73.0,73.0,67.0,69.0,62.0,72.0,77.0,71.0,62.0,58.0,4.189654742026425,4.110873864173311,4.127134385045092,4.204692619390966,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,551368.0,456533.0,389017.0,389017.0,328509.0,421875.0,343000.0,456533.0,8.602325267042627,8.602325267042627,8.54400374531753,8.48528137423857,8.366600265340756,8.660254037844387,7.874007874011811,7.874007874011811,64.0,61.0,63.0,61.0,63.0,69.0,60.0,67.0,66.0,62.0,66.0,59.0,64.0,66.0,71.0,59.0,62.0,4.189654742026425,4.189654742026425,4.174387269895637,4.2626798770413155,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,287496.0,166375.0,250047.0,216000.0,373248.0,405224.0,421875.0,389017.0,7.483314773547883,7.615773105863909,8.717797887081348,8.18535277187245,8.366600265340756,8.48528137423857,7.745966692414834,7.681145747868608,44.0,48.0,68.0,63.0,70.0,71.0,71.0,65.0,62.0,73.0,73.0,77.0,75.0,71.0,70.0,58.0,61.0,4.2626798770413155,4.204692619390966,4.248495242049359,4.23410650459726,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,274625.0,238328.0,287496.0,226981.0,456533.0,474552.0,389017.0,357911.0,8.246211251235321,8.18535277187245,8.306623862918075,8.602325267042627,8.306623862918075,8.366600265340756,8.06225774829855,8.54400374531753,62.0,61.0,74.0,70.0,67.0,70.0,73.0,75.0,71.0,64.0,62.0,67.0,65.0,73.0,70.0,65.0,64.0,3.8918202981106265,3.871201010907891,4.290459441148391,4.276666119016055,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,195112.0,238328.0,262144.0,357911.0,571787.0,592704.0,205379.0,262144.0,7.483314773547883,7.745966692414834,7.483314773547883,7.681145747868608,8.306623862918075,8.426149773176359,7.483314773547883,7.810249675906654,61.0,57.0,71.0,75.0,69.0,71.0,64.0,70.0,73.0,66.0,62.0,69.0,69.0,65.0,68.0,65.0,62.0,3.8918202981106265,3.7612001156935624,4.276666119016055,4.248495242049359,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,140608.0,195112.0,97336.0,166375.0,205379.0,140608.0,117649.0,373248.0,8.660254037844387,9.433981132056603,7.3484692283495345,7.681145747868608,8.12403840463596,8.48528137423857,7.810249675906654,8.366600265340756,26.0,30.0,35.0,17.0,8.0,31.0,31.0,40.0,23.0,40.0,40.0,23.0,46.0,57.0,67.0,41.0,57.0,2.833213344056216,2.995732273553991,2.5649493574615367,3.4011973816621555,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,157464.0,132651.0,1331.0,1728.0,314432.0,205379.0,148877.0,140608.0,7.280109889280518,7.0710678118654755,6.557438524302,6.928203230275509,8.06225774829855,8.54400374531753,7.615773105863909,7.937253933193772,46.0,55.0,46.0,45.0,55.0,66.0,72.0,33.0,23.0,61.0,60.0,54.0,60.0,36.0,46.0,45.0,52.0,3.9889840465642745,3.713572066704308,4.174387269895637,3.9889840465642745,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,238328.0,314432.0,438976.0,456533.0,373248.0,438976.0,389017.0,493039.0,7.874007874011811,7.615773105863909,8.48528137423857,8.660254037844387,8.306623862918075,8.246211251235321,8.06225774829855,8.366600265340756,77.0,71.0,61.0,58.0,57.0,54.0,66.0,67.0,66.0,62.0,57.0,56.0,53.0,60.0,60.0,53.0,57.0,4.23410650459726,4.248495242049359,4.219507705176107,4.204692619390966,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,421875.0,493039.0,389017.0,456533.0,456533.0,314432.0,421875.0,474552.0,8.48528137423857,8.246211251235321,8.18535277187245,8.54400374531753,8.306623862918075,8.06225774829855,7.937253933193772,8.12403840463596,69.0,66.0,67.0,65.0,68.0,60.0,68.0,72.0,69.0,57.0,58.0,58.0,54.0,52.0,44.0,34.0,37.0,4.204692619390966,4.189654742026425,4.1588830833596715,4.110873864173311,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,357911.0,373248.0,274625.0,438976.0,531441.0,512000.0,357911.0,405224.0,8.06225774829855,8.426149773176359,8.06225774829855,8.54400374531753,8.246211251235321,8.12403840463596,7.681145747868608,7.745966692414834,70.0,64.0,73.0,73.0,62.0,63.0,64.0,77.0,76.0,59.0,57.0,59.0,44.0,44.0,42.0,44.0,30.0,4.127134385045092,4.07753744390572,4.110873864173311,4.204692619390966,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,421875.0,405224.0,373248.0,357911.0,300763.0,300763.0,421875.0,456533.0,8.831760866327848,8.48528137423857,8.660254037844387,8.48528137423857,8.602325267042627,8.831760866327848,8.12403840463596,8.18535277187245,61.0,57.0,62.0,66.0,62.0,62.0,69.0,62.0,63.0,70.0,68.0,64.0,68.0,74.0,75.0,63.0,67.0,4.1588830833596715,4.143134726391533,4.174387269895637,4.07753744390572,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,421875.0,300763.0,421875.0,438976.0,314432.0,421875.0,405224.0,493039.0,7.810249675906654,7.681145747868608,8.12403840463596,6.928203230275509,8.306623862918075,8.18535277187245,7.937253933193772,8.660254037844387,61.0,67.0,68.0,68.0,70.0,68.0,62.0,64.0,67.0,61.0,56.0,68.0,71.0,69.0,83.0,59.0,73.0,3.871201010907891,3.8501476017100584,4.127134385045092,3.9512437185814275,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,343000.0,421875.0,238328.0,314432.0,175616.0,216000.0,238328.0,195112.0,8.366600265340756,8.426149773176359,8.366600265340756,8.12403840463596,7.874007874011811,8.12403840463596,7.211102550927978,7.14142842854285,59.0,60.0,61.0,63.0,62.0,63.0,67.0,61.0,56.0,69.0,72.0,69.0,71.0,71.0,73.0,57.0,63.0,4.204692619390966,4.174387269895637,4.189654742026425,4.174387269895637,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,314432.0,238328.0,438976.0,421875.0,474552.0,474552.0,300763.0,343000.0,8.48528137423857,7.937253933193772,7.416198487095663,7.54983443527075,7.54983443527075,7.416198487095663,8.660254037844387,8.48528137423857,57.0,49.0,57.0,56.0,57.0,57.0,53.0,63.0,62.0,43.0,37.0,35.0,37.0,38.0,35.0,32.0,26.0,3.713572066704308,3.5553480614894135,3.828641396489095,3.7612001156935624,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,287496.0,250047.0,389017.0,474552.0,373248.0,357911.0,373248.0,405224.0,8.306623862918075,7.874007874011811,8.660254037844387,8.06225774829855,7.211102550927978,6.928203230275509,7.483314773547883,7.615773105863909,72.0,71.0,68.0,68.0,66.0,59.0,67.0,66.0,69.0,68.0,62.0,23.0,26.0,34.0,33.0,11.0,12.0,4.189654742026425,4.189654742026425,4.143134726391533,4.30406509320417,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,421875.0,373248.0,438976.0,421875.0,405224.0,474552.0,389017.0,389017.0,8.306623862918075,8.18535277187245,8.306623862918075,8.0,7.416198487095663,7.0710678118654755,7.810249675906654,7.937253933193772,67.0,73.0,56.0,62.0,65.0,73.0,67.0,60.0,71.0,58.0,57.0,37.0,38.0,35.0,37.0,24.0,20.0,4.110873864173311,4.110873864173311,4.189654742026425,4.060443010546419,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,357911.0,373248.0,343000.0,438976.0,438976.0,512000.0,421875.0,389017.0,8.18535277187245,8.660254037844387,8.366600265340756,8.246211251235321,8.306623862918075,8.246211251235321,8.06225774829855,7.810249675906654,70.0,74.0,72.0,73.0,59.0,56.0,69.0,66.0,70.0,63.0,71.0,57.0,59.0,65.0,67.0,53.0,42.0,4.127134385045092,4.219507705176107,4.290459441148391,4.174387269895637,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,438976.0,405224.0,421875.0,405224.0,357911.0,474552.0,373248.0,421875.0,8.426149773176359,8.246211251235321,7.681145747868608,7.615773105863909,8.306623862918075,8.48528137423857,7.810249675906654,8.12403840463596,69.0,75.0,74.0,72.0,63.0,61.0,70.0,59.0,64.0,71.0,69.0,69.0,72.0,72.0,61.0,55.0,63.0,4.07753744390572,4.248495242049359,4.2626798770413155,4.0943445622221,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,287496.0,314432.0,125000.0,148877.0,551368.0,551368.0,287496.0,421875.0,8.426149773176359,8.306623862918075,8.54400374531753,8.426149773176359,8.18535277187245,8.426149773176359,7.615773105863909,7.874007874011811,68.0,67.0,80.0,81.0,67.0,64.0,65.0,71.0,67.0,73.0,63.0,52.0,47.0,67.0,64.0,52.0,53.0,4.189654742026425,4.204692619390966,4.174387269895637,4.2626798770413155,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,314432.0,405224.0,421875.0,474552.0,512000.0,493039.0,250047.0,157464.0,7.483314773547883,7.681145747868608,6.855654600401044,7.280109889280518,6.855654600401044,7.280109889280518,7.0,6.928203230275509,54.0,48.0,56.0,54.0,58.0,50.0,66.0,62.0,58.0,25.0,19.0,19.0,14.0,31.0,30.0,15.0,11.0,4.204692619390966,4.2626798770413155,4.174387269895637,4.276666119016055,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,493039.0,474552.0,389017.0,456533.0,262144.0,405224.0,389017.0,531441.0,7.937253933193772,8.54400374531753,8.18535277187245,8.426149773176359,7.280109889280518,8.48528137423857,8.06225774829855,8.94427190999916,64.0,71.0,52.0,64.0,52.0,54.0,53.0,63.0,70.0,58.0,57.0,36.0,44.0,52.0,57.0,49.0,50.0,3.8918202981106265,4.02535169073515,4.0943445622221,4.1588830833596715,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,274625.0,314432.0,512000.0,456533.0,438976.0,389017.0,421875.0,405224.0,7.937253933193772,8.0,8.366600265340756,8.426149773176359,8.306623862918075,8.306623862918075,8.0,8.0,75.0,72.0,63.0,62.0,62.0,44.0,63.0,70.0,69.0,61.0,61.0,48.0,59.0,51.0,48.0,45.0,45.0,4.189654742026425,4.07753744390572,4.110873864173311,4.204692619390966,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,262144.0,343000.0,314432.0,314432.0,405224.0,456533.0,474552.0,438976.0,7.681145747868608,7.615773105863909,8.54400374531753,8.426149773176359,8.306623862918075,8.54400374531753,7.810249675906654,7.874007874011811,60.0,66.0,64.0,65.0,58.0,67.0,64.0,72.0,74.0,60.0,63.0,59.0,58.0,71.0,69.0,66.0,61.0,4.174387269895637,4.23410650459726,4.204692619390966,4.2626798770413155,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,314432.0,343000.0,328509.0,389017.0,389017.0,389017.0,474552.0,493039.0,8.06225774829855,8.366600265340756,8.426149773176359,8.602325267042627,8.366600265340756,8.602325267042627,8.306623862918075,8.366600265340756,69.0,70.0,66.0,67.0,58.0,68.0,71.0,72.0,71.0,71.0,71.0,63.0,67.0,72.0,76.0,64.0,66.0,4.189654742026425,4.23410650459726,4.290459441148391,4.343805421853684,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,328509.0,300763.0,456533.0,389017.0,421875.0,389017.0,421875.0,357911.0,8.306623862918075,7.681145747868608,8.602325267042627,8.12403840463596,8.94427190999916,8.888194417315589,7.681145747868608,7.810249675906654,66.0,65.0,69.0,68.0,69.0,66.0,65.0,73.0,71.0,66.0,55.0,69.0,65.0,74.0,65.0,69.0,66.0,4.219507705176107,4.174387269895637,4.1588830833596715,4.31748811353631,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,343000.0,456533.0,405224.0,389017.0,405224.0,421875.0,421875.0,438976.0,8.18535277187245,8.660254037844387,8.246211251235321,8.48528137423857,8.48528137423857,8.246211251235321,7.937253933193772,8.366600265340756,67.0,66.0,67.0,63.0,75.0,69.0,71.0,66.0,63.0,64.0,70.0,69.0,68.0,66.0,68.0,58.0,59.0,4.2626798770413155,4.30406509320417,4.23410650459726,4.290459441148391,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,493039.0,456533.0,287496.0,287496.0,373248.0,300763.0,389017.0,421875.0,8.602325267042627,8.717797887081348,8.602325267042627,8.54400374531753,8.717797887081348,8.306623862918075,8.366600265340756,8.12403840463596,65.0,68.0,63.0,62.0,64.0,61.0,64.0,70.0,70.0,72.0,68.0,68.0,64.0,79.0,73.0,65.0,63.0,4.23410650459726,4.219507705176107,4.248495242049359,4.330733340286331,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,405224.0,512000.0,421875.0,512000.0,474552.0,551368.0,343000.0,389017.0,8.717797887081348,8.48528137423857,8.831760866327848,8.774964387392123,8.366600265340756,8.246211251235321,7.681145747868608,8.06225774829855,67.0,64.0,70.0,60.0,64.0,60.0,55.0,50.0,51.0,66.0,64.0,63.0,60.0,69.0,65.0,42.0,41.0,3.9889840465642745,4.02535169073515,4.060443010546419,4.248495242049359,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,405224.0,438976.0,474552.0,493039.0,512000.0,531441.0,493039.0,438976.0,7.745966692414834,8.306623862918075,7.54983443527075,7.874007874011811,7.615773105863909,8.246211251235321,8.602325267042627,8.426149773176359,68.0,69.0,73.0,69.0,73.0,70.0,66.0,65.0,62.0,69.0,69.0,75.0,69.0,75.0,68.0,62.0,60.0,4.060443010546419,4.174387269895637,4.1588830833596715,4.219507705176107,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,357911.0,314432.0,357911.0,531441.0,328509.0,493039.0,300763.0,357911.0,8.774964387392123,8.306623862918075,8.660254037844387,8.48528137423857,8.0,8.06225774829855,7.681145747868608,8.0,64.0,75.0,61.0,71.0,61.0,65.0,66.0,60.0,68.0,71.0,69.0,62.0,66.0,69.0,68.0,63.0,59.0,4.2626798770413155,4.219507705176107,4.174387269895637,4.2626798770413155,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,456533.0,405224.0,421875.0,474552.0,421875.0,438976.0,438976.0,512000.0,8.18535277187245,8.12403840463596,8.12403840463596,8.602325267042627,8.602325267042627,9.0,7.937253933193772,8.0,65.0,64.0,73.0,72.0,65.0,63.0,63.0,73.0,72.0,62.0,60.0,66.0,65.0,72.0,74.0,65.0,64.0,4.143134726391533,4.204692619390966,4.1588830833596715,4.31748811353631,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,405224.0,405224.0,357911.0,474552.0,493039.0,474552.0,300763.0,493039.0,8.717797887081348,8.602325267042627,7.615773105863909,8.0,8.18535277187245,8.246211251235321,8.18535277187245,8.426149773176359,68.0,78.0,72.0,71.0,67.0,67.0,71.0,70.0,74.0,70.0,72.0,63.0,60.0,74.0,73.0,54.0,54.0,4.330733340286331,4.30406509320417,4.1588830833596715,4.330733340286331,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,357911.0,328509.0,328509.0,314432.0,512000.0,474552.0,456533.0,389017.0,8.48528137423857,8.366600265340756,8.246211251235321,8.366600265340756,8.888194417315589,9.0,8.06225774829855,8.0,61.0,66.0,73.0,72.0,72.0,79.0,72.0,59.0,62.0,71.0,70.0,74.0,70.0,68.0,67.0,58.0,57.0,4.290459441148391,4.31748811353631,4.276666119016055,4.30406509320417,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,314432.0,474552.0,300763.0,343000.0,300763.0,373248.0,389017.0,474552.0,8.426149773176359,8.48528137423857,8.18535277187245,8.660254037844387,8.602325267042627,8.54400374531753,8.06225774829855,8.246211251235321,61.0,65.0,59.0,63.0,52.0,52.0,61.0,69.0,74.0,60.0,58.0,56.0,56.0,74.0,70.0,63.0,61.0,4.204692619390966,4.219507705176107,4.204692619390966,4.31748811353631,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,373248.0,421875.0,421875.0,493039.0,531441.0,512000.0,421875.0,421875.0,7.937253933193772,7.874007874011811,8.366600265340756,8.426149773176359,8.426149773176359,8.54400374531753,8.12403840463596,8.18535277187245,73.0,74.0,79.0,78.0,69.0,67.0,67.0,71.0,73.0,64.0,67.0,60.0,62.0,62.0,65.0,55.0,56.0,4.23410650459726,4.23410650459726,4.189654742026425,4.23410650459726,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,328509.0,438976.0,405224.0,389017.0,456533.0,405224.0,438976.0,493039.0,7.874007874011811,8.246211251235321,7.745966692414834,8.660254037844387,8.306623862918075,8.306623862918075,8.06225774829855,7.937253933193772,65.0,64.0,73.0,65.0,68.0,59.0,60.0,69.0,64.0,66.0,63.0,66.0,59.0,69.0,70.0,62.0,57.0,4.23410650459726,4.23410650459726,4.0943445622221,4.30406509320417,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,343000.0,438976.0,421875.0,438976.0,421875.0,389017.0,438976.0,456533.0,7.874007874011811,8.366600265340756,8.366600265340756,8.54400374531753,8.366600265340756,8.246211251235321,7.681145747868608,7.937253933193772,65.0,67.0,78.0,69.0,79.0,68.0,72.0,64.0,64.0,63.0,61.0,67.0,64.0,61.0,61.0,51.0,55.0,4.248495242049359,4.31748811353631,4.23410650459726,4.276666119016055,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,389017.0,328509.0,389017.0,287496.0,287496.0,438976.0,456533.0,493039.0,8.18535277187245,8.54400374531753,8.12403840463596,8.54400374531753,8.306623862918075,8.660254037844387,7.810249675906654,8.246211251235321,60.0,65.0,60.0,58.0,63.0,60.0,71.0,62.0,63.0,68.0,67.0,65.0,64.0,62.0,69.0,52.0,59.0,4.30406509320417,4.2626798770413155,4.248495242049359,4.330733340286331,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,474552.0,474552.0,373248.0,421875.0,474552.0,512000.0,456533.0,474552.0,8.246211251235321,8.18535277187245,8.602325267042627,8.602325267042627,8.54400374531753,8.660254037844387,7.810249675906654,8.0,67.0,68.0,66.0,66.0,67.0,67.0,63.0,51.0,57.0,67.0,66.0,67.0,72.0,78.0,76.0,60.0,59.0,4.204692619390966,4.174387269895637,4.189654742026425,4.204692619390966,0
