2024-03-24 13:53:55,374 AutoFE.py:30 __init__ INFO | Namespace(cuda='0', epochs=300, ppo_epochs=20, episodes=10, file_name='lymphography', mode='classify', model='rf', metric='f1', seed=1, train_size=0.7, cv=5, shuffle=False, d_model=128, d_k=32, d_v=32, d_ff=64, n_heads=6, worker=1, steps_num=5, lr=0.0001, entropy_weight=0.0001, baseline_weight=0.95, gama=0.9, gae_lambda=0.95, batch_size=4, c_columns=['V0', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17'], d_columns=[], target='label')
2024-03-24 13:54:02,886 AutoFE.py:153 fit_attention INFO | worker4 ,results:[0.5526, 0.5807, 0.5292, 0.4972, 0.5372],cv:[ 0.03333333 -0.06666667  0.06666667 -0.03448276 -0.13793103],
2024-03-24 13:54:02,886 AutoFE.py:153 fit_attention INFO | worker5 ,results:[0.6421, 0.4779, 0.4326, 0.4352, 0.628],cv:[ 0.06666667 -0.1         0.06666667  0.         -0.06896552],
2024-03-24 13:54:02,886 AutoFE.py:153 fit_attention INFO | worker6 ,results:[0.5795, 0.5405, 0.6621, 0.4855, 0.6561],cv:[ 0.03333333 -0.1         0.03333333  0.         -0.03448276],
2024-03-24 13:54:02,886 AutoFE.py:153 fit_attention INFO | worker7 ,results:[0.5733, 0.6149, 0.4205, 0.6851, 0.5069],cv:[ 0.06666667 -0.16666667  0.03333333  0.03448276 -0.10344828],
2024-03-24 13:54:02,886 AutoFE.py:153 fit_attention INFO | worker8 ,results:[0.5745, 0.6956, 0.5195, 0.4671, 0.6915],cv:[ 0.1        -0.13333333  0.03333333  0.10344828  0.        ],
2024-03-24 13:54:02,888 AutoFE.py:153 fit_attention INFO | worker9 ,results:[0.7913, 0.7618, 0.7207, 0.6947, 0.7552],cv:[ 0.06666667  0.03333333  0.          0.06896552 -0.06896552],
2024-03-24 13:54:02,888 AutoFE.py:153 fit_attention INFO | worker10 ,results:[0.5736, 0.492, 0.554, 0.7315, 0.6549],cv:[ 0.03333333 -0.06666667  0.          0.03448276 -0.06896552],
2024-03-24 13:54:02,891 AutoFE.py:170 fit_attention INFO | epoch:0,baseline:[0.61246 0.59593 0.56883 0.56823 0.60685],score_b:0.8041379310344826,scores_b:[0.76666667 0.86666667 0.76666667 0.75862069 0.86206897]
2024-03-24 13:54:02,891 AutoFE.py:176 fit_attention INFO | top_1:score:0.8314942528735632
2024-03-24 13:54:02,891 AutoFE.py:176 fit_attention INFO | top_2:score:0.831264367816092
2024-03-24 13:54:02,891 AutoFE.py:176 fit_attention INFO | top_3:score:0.8310344827586207
2024-03-24 13:54:02,891 AutoFE.py:176 fit_attention INFO | top_4:score:0.8310344827586207
2024-03-24 13:54:02,891 AutoFE.py:176 fit_attention INFO | top_5:score:0.8308045977011496
2024-03-24 13:54:03,834 ppo.py:150 update INFO | total_loss_c:1.627250948760997,actor_loss:1.7058577159683812,entory_loss:-0.07860677689313889
2024-03-24 13:54:05,111 ppo.py:150 update INFO | total_loss_c:1.583938201648051,actor_loss:1.6625449755609578,entory_loss:-0.07860676944255829
2024-03-24 13:54:06,323 ppo.py:150 update INFO | total_loss_c:1.5404958339759685,actor_loss:1.619102578831611,entory_loss:-0.0786067470908165
2024-03-24 13:54:07,576 ppo.py:150 update INFO | total_loss_c:1.4969237673745637,actor_loss:1.575530448900271,entory_loss:-0.07860668003559113
2024-03-24 13:54:08,874 ppo.py:150 update INFO | total_loss_c:1.453220800327727,actor_loss:1.5318273820156543,entory_loss:-0.07860659062862396
2024-03-24 13:54:10,075 ppo.py:150 update INFO | total_loss_c:1.4093848472652242,actor_loss:1.4879912955877588,entory_loss:-0.07860644906759262
2024-03-24 13:54:11,290 ppo.py:150 update INFO | total_loss_c:1.3654115320838782,actor_loss:1.4440178090430589,entory_loss:-0.07860628515481949
2024-03-24 13:54:12,506 ppo.py:150 update INFO | total_loss_c:1.3212962051541917,actor_loss:1.3999022712619416,entory_loss:-0.07860606163740158
2024-03-24 13:54:13,741 ppo.py:150 update INFO | total_loss_c:1.2770338264099284,actor_loss:1.3556396488836928,entory_loss:-0.07860582321882248
2024-03-24 13:54:14,942 ppo.py:150 update INFO | total_loss_c:1.2326176218825933,actor_loss:1.311223162724411,entory_loss:-0.0786055400967598
2024-03-24 13:54:16,190 ppo.py:150 update INFO | total_loss_c:1.1882095607274574,actor_loss:1.2668147864097161,entory_loss:-0.07860522717237473
2024-03-24 13:54:17,394 ppo.py:150 update INFO | total_loss_c:1.14646474387704,actor_loss:1.22506961193143,entory_loss:-0.07860486209392548
2024-03-24 13:54:18,630 ppo.py:150 update INFO | total_loss_c:1.104475555152722,actor_loss:1.1830800260911662,entory_loss:-0.07860447466373444
2024-03-24 13:54:19,797 ppo.py:150 update INFO | total_loss_c:1.0622754152017835,actor_loss:1.1408794495362045,entory_loss:-0.07860403507947922
2024-03-24 13:54:21,019 ppo.py:150 update INFO | total_loss_c:1.0201168776379428,actor_loss:1.0987204455660187,entory_loss:-0.07860356569290161
2024-03-24 13:54:22,280 ppo.py:150 update INFO | total_loss_c:0.9796096584663723,actor_loss:1.0582127160296773,entory_loss:-0.07860306650400162
2024-03-24 13:54:23,524 ppo.py:150 update INFO | total_loss_c:0.938797225602038,actor_loss:1.017399735547669,entory_loss:-0.07860251516103745
2024-03-24 13:54:24,756 ppo.py:150 update INFO | total_loss_c:0.8977192973389738,actor_loss:0.9763212179436795,entory_loss:-0.07860191911458969
2024-03-24 13:54:25,971 ppo.py:150 update INFO | total_loss_c:0.8563978852163907,actor_loss:0.9349991807173844,entory_loss:-0.07860130071640015
2024-03-24 13:54:27,187 ppo.py:150 update INFO | total_loss_c:0.8148491297557876,actor_loss:0.8934497629001662,entory_loss:-0.07860063761472702
2024-03-24 13:54:29,243 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:29,285 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:29,332 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:29,381 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:29,432 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:29,487 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:29,531 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:29,577 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:29,627 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:29,678 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:29,734 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:29,778 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:29,824 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:29,873 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:29,924 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:29,978 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:30,023 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:30,067 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:30,115 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:30,166 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:30,220 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:30,264 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:30,310 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:30,358 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:30,409 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:30,463 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:30,508 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:30,555 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:30,604 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:30,656 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:30,712 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:30,754 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:30,800 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:30,849 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:30,900 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:30,956 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:31,000 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:31,046 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:31,095 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:31,148 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:31,203 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:31,246 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:31,293 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:31,344 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:31,396 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:31,454 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:31,496 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:31,542 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:31,591 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:31,641 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:31,696 AutoFE.py:153 fit_attention INFO | worker1 ,results:[0.5386, 0.5853, 0.4726, 0.4768, 0.5315],cv:[ 0.06666667 -0.1         0.06666667  0.13793103 -0.17241379],
2024-03-24 13:54:31,697 AutoFE.py:153 fit_attention INFO | worker2 ,results:[0.5616, 0.5071, 0.6246, 0.5347, 0.6483],cv:[ 0.         -0.06666667  0.          0.03448276 -0.06896552],
2024-03-24 13:54:31,697 AutoFE.py:153 fit_attention INFO | worker3 ,results:[0.566, 0.4855, 0.4867, 0.5414, 0.5533],cv:[ 0.1        -0.13333333  0.06666667  0.         -0.10344828],
2024-03-24 13:54:31,697 AutoFE.py:153 fit_attention INFO | worker4 ,results:[0.6899, 0.6101, 0.6614, 0.6244, 0.7444],cv:[ 0.03333333 -0.06666667  0.03333333  0.03448276  0.        ],
2024-03-24 13:54:31,697 AutoFE.py:153 fit_attention INFO | worker5 ,results:[0.6228, 0.6499, 0.7147, 0.4172, 0.4786],cv:[ 0.         -0.1        -0.03333333  0.         -0.13793103],
2024-03-24 13:54:31,697 AutoFE.py:153 fit_attention INFO | worker6 ,results:[0.5786, 0.694, 0.5678, 0.5816, 0.5979],cv:[ 0.06666667 -0.03333333  0.03333333  0.10344828 -0.17241379],
2024-03-24 13:54:31,697 AutoFE.py:153 fit_attention INFO | worker7 ,results:[0.6471, 0.574, 0.472, 0.4531, 0.6434],cv:[ 0.06666667 -0.13333333  0.03333333  0.10344828 -0.03448276],
2024-03-24 13:54:31,697 AutoFE.py:153 fit_attention INFO | worker8 ,results:[0.54, 0.7508, 0.6147, 0.4228, 0.5269],cv:[ 0.         -0.1        -0.03333333  0.03448276 -0.10344828],
2024-03-24 13:54:31,697 AutoFE.py:153 fit_attention INFO | worker9 ,results:[0.697, 0.5409, 0.7248, 0.5113, 0.6483],cv:[ 0.         -0.06666667  0.          0.03448276 -0.06896552],
2024-03-24 13:54:31,700 AutoFE.py:153 fit_attention INFO | worker10 ,results:[0.668, 0.6324, 0.4825, 0.6575, 0.7694],cv:[ 0.          0.03333333  0.          0.         -0.03448276],
2024-03-24 13:54:31,700 AutoFE.py:170 fit_attention INFO | epoch:1,baseline:[0.61096 0.603   0.58218 0.52208 0.6142 ],score_b:0.8041379310344826,scores_b:[0.76666667 0.86666667 0.76666667 0.75862069 0.86206897]
2024-03-24 13:54:31,701 AutoFE.py:176 fit_attention INFO | top_1:score:0.8314942528735634
2024-03-24 13:54:31,701 AutoFE.py:176 fit_attention INFO | top_2:score:0.8314942528735632
2024-03-24 13:54:31,701 AutoFE.py:176 fit_attention INFO | top_3:score:0.831264367816092
2024-03-24 13:54:31,701 AutoFE.py:176 fit_attention INFO | top_4:score:0.8310344827586207
2024-03-24 13:54:31,701 AutoFE.py:176 fit_attention INFO | top_5:score:0.8310344827586207
2024-03-24 13:54:32,738 ppo.py:150 update INFO | total_loss_c:3.298484972709096,actor_loss:3.377084824287571,entory_loss:-0.07859985530376434
2024-03-24 13:54:34,047 ppo.py:150 update INFO | total_loss_c:3.2900932208745477,actor_loss:3.3686924108414646,entory_loss:-0.07859919220209122
2024-03-24 13:54:35,348 ppo.py:150 update INFO | total_loss_c:3.2776902669524564,actor_loss:3.356288834050835,entory_loss:-0.07859857380390167
2024-03-24 13:54:36,589 ppo.py:150 update INFO | total_loss_c:3.2621525965981784,actor_loss:3.3407505728655162,entory_loss:-0.07859797775745392
2024-03-24 13:54:37,783 ppo.py:150 update INFO | total_loss_c:3.244058128039036,actor_loss:3.322655541787539,entory_loss:-0.07859741896390915
2024-03-24 13:54:39,036 ppo.py:150 update INFO | total_loss_c:3.223831817010187,actor_loss:3.3024286891014807,entory_loss:-0.07859688252210617
2024-03-24 13:54:40,246 ppo.py:150 update INFO | total_loss_c:3.20180317463375,actor_loss:3.2803995229492275,entory_loss:-0.07859634608030319
2024-03-24 13:54:41,456 ppo.py:150 update INFO | total_loss_c:3.1782376203999316,actor_loss:3.2568334568605217,entory_loss:-0.078595831990242
2024-03-24 13:54:42,627 ppo.py:150 update INFO | total_loss_c:3.153351490303293,actor_loss:3.231946819379344,entory_loss:-0.07859533280134201
2024-03-24 13:54:43,800 ppo.py:150 update INFO | total_loss_c:3.1273261503685377,actor_loss:3.2059209787655734,entory_loss:-0.07859482616186142
2024-03-24 13:54:45,050 ppo.py:150 update INFO | total_loss_c:3.1003144230462607,actor_loss:3.17890874703899,entory_loss:-0.07859431952238083
2024-03-24 13:54:46,271 ppo.py:150 update INFO | total_loss_c:3.072445560004738,actor_loss:3.15103937586787,entory_loss:-0.07859381288290024
2024-03-24 13:54:47,465 ppo.py:150 update INFO | total_loss_c:3.0438298669186192,actor_loss:3.1224231672015743,entory_loss:-0.07859330624341965
2024-03-24 13:54:48,670 ppo.py:150 update INFO | total_loss_c:3.0145627245289077,actor_loss:3.0931554943305244,entory_loss:-0.07859276980161667
2024-03-24 13:54:49,840 ppo.py:150 update INFO | total_loss_c:2.9847254468618267,actor_loss:3.063317675751292,entory_loss:-0.0785922259092331
2024-03-24 13:54:51,068 ppo.py:150 update INFO | total_loss_c:2.9543888350903402,actor_loss:3.0329805022060286,entory_loss:-0.07859166711568832
2024-03-24 13:54:52,242 ppo.py:150 update INFO | total_loss_c:2.923613727001035,actor_loss:3.002204815951669,entory_loss:-0.07859110087156296
2024-03-24 13:54:53,419 ppo.py:150 update INFO | total_loss_c:2.892452234643273,actor_loss:2.971042724567227,entory_loss:-0.07859048992395401
2024-03-24 13:54:54,627 ppo.py:150 update INFO | total_loss_c:2.8609499738562145,actor_loss:2.9395398409116305,entory_loss:-0.07858987152576447
2024-03-24 13:54:55,828 ppo.py:150 update INFO | total_loss_c:2.829145865369499,actor_loss:2.907735081989229,entory_loss:-0.07858921587467194
2024-03-24 13:54:57,848 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:57,891 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:57,937 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:57,985 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:58,037 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:58,094 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:58,137 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:58,181 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:58,231 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:58,281 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:58,336 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:58,379 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:58,426 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:58,477 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:58,532 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:58,589 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:58,633 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:58,679 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:58,729 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:58,780 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:58,835 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:58,879 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:58,925 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:58,973 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:59,026 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:59,081 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:59,125 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:59,172 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:59,222 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:59,274 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:59,329 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:59,373 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:59,419 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:59,470 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:59,525 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:59,582 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:59,625 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:59,670 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:59,718 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:59,770 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:59,825 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:59,868 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:59,914 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:59,963 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:55:00,018 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:55:00,073 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:55:00,116 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:55:00,162 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:55:00,210 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:55:00,260 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
