V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,Y1,Y2,Y3,Y4,Y5,Y6,Y7
4,0,6.0,0.0,1,2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,0,0,1,1,1,0
2,0,111.0,9.0,5,6,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0,1,1,1,1,1,0,0
3,3,274.0,7.0,3,5,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,1,0,0,0
4,0,678.0,35.0,1,3,0.0,0.0,3.0,0.0,0.0,0.0,1.0,14.0,0,0,1,1,0,1,0,1,0,1,0,0
3,1,28.0,4.0,1,5,0.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,0,0,0,0,0,1,1,0,0,1,0,0
3,0,474.0,8.0,3,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,1,0,0,0
0,3,9976.0,24.0,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,1,0,0
3,3,4.0,0.0,6,0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,1,1,0,1,0,1,1
0,3,0.0,0.0,0,1,0.0,0.0,6.0,1.0,1.0,1.0,1.0,4.0,0,0,1,1,1,1,1,1,1,1,0,1
3,0,623.0,2.0,1,5,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,1,1,1,0,0
3,0,1284.0,4.0,3,5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,0,0
1,2,757.0,11.0,2,0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,1,0,1,0,1,0,0
4,0,9561.0,1008.0,7,6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,0,1,0,0,1,0,0,0
1,3,1139.0,28.0,2,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,0,0
3,1,2.0,0.0,3,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1,0,0,0,0,0,1,0,0,1,0,0
3,1,342.0,2.0,1,5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0,1,1,0,1,0,0,0
5,2,0.0,0.0,0,1,0.0,0.0,4.0,1.0,1.0,1.0,1.0,15.0,0,0,0,0,0,1,0,1,0,1,0,0
0,3,51.0,2.0,2,0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0
0,3,115.0,10.0,2,6,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1,0,1,0,1,0,0
2,0,9.0,1.0,6,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1,1,0,0
2,0,128.0,15.0,5,6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0
2,0,43.0,5.0,6,1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0
3,0,22.0,0.0,3,2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1,1,1,0,1,0,0
0,3,0.0,0.0,0,1,0.0,0.0,6.0,1.0,0.0,0.0,0.0,10.0,0,0,0,1,0,1,1,1,1,1,1,0
0,3,49.0,6.0,2,0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0
1,2,284.0,8.0,2,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,0,0
3,0,1001.0,47.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0,0,1,1,1,0
0,3,21.0,5.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
3,0,28.0,0.0,1,5,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,1,0,1,0,0
3,0,1222.0,31.0,1,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,0
2,3,1.0,0.0,6,1,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0
1,2,12.0,0.0,0,1,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0,0,1,1,1,1,1,1,1,1,0,0
5,1,18.0,1.0,0,1,0.0,0.0,7.0,0.0,2.0,1.0,1.0,0.0,0,0,1,1,0,1,1,1,1,1,0,1
2,0,337.0,5.0,9,1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
2,0,547.0,54.0,3,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0
1,3,91.0,0.0,3,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0
5,2,4.0,0.0,3,0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,0,1,0,1,1,1,1,0
3,1,268.0,1.0,1,5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
3,3,10.0,1.0,0,5,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,0,1,0,0
2,0,108.0,17.0,4,6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,1,0,1,0
2,0,249.0,61.0,4,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,1,0
3,3,239.0,14.0,0,5,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,1,0,1,0
2,3,0.0,0.0,0,1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,1,1,0,0
2,0,132.0,10.0,6,1,0.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
0,3,2176.0,0.0,6,1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0
0,3,0.0,0.0,0,1,0.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,0,1,0,1,0,1,1,0,1,0,0,0
5,0,0.0,0.0,0,1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,1,1,1,1,1,0,1
0,3,109.0,8.0,2,0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
3,3,246.0,6.0,3,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,0
3,3,36.0,1.0,6,5,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,1,0,1,0
1,3,215.0,1.0,0,4,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,0,1,1,1,0
0,3,28.0,6.0,3,0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0
0,3,112.0,4.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,1,0,1,0,0
4,0,1.0,5.0,7,3,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0,0,1,1,1,1,1,1,1,1,0,1
2,0,93.0,11.0,9,6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0
2,3,103.0,0.0,6,1,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0
4,0,3268.0,684.0,6,4,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,0,1,0,1
5,1,1904.0,157.0,1,2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0
4,0,1648.0,39.0,6,2,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,1,0,0,1,0,0
4,0,435.0,14.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,1,1,0,0,1,1,0
2,3,70.0,3.0,0,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,1
4,0,21.0,4.0,1,7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,0
2,0,301.0,57.0,6,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0
3,3,323.0,7.0,3,5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0
0,3,11.0,2.0,0,1,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,1,0,1,0,1,0
4,0,372.0,118.0,9,7,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0
4,0,98.0,2.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1,1,0,0,1,1,0
4,0,181.0,6.0,1,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,1,0,0,0
3,0,583.0,17.0,1,5,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,1,0
5,0,0.0,0.0,0,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0,1,0,1,1,1,0,0
4,0,18.0,2.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,1,1,0
4,0,236.0,3.0,1,6,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0
4,0,10.0,3.0,8,2,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1,0,0,1,0,1
3,1,30.0,1.0,1,5,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,1,0,1,0,0
3,3,111.0,1.0,1,5,0.0,11.0,3.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,1,0,1,0,1,0,0
3,0,1760.0,3.0,8,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0.0,0.0,4,0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,1,1,0,0,0
2,0,3.0,0.0,4,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0
3,1,587.0,9.0,1,1,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0
3,1,118.0,6.0,1,5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,0,0,1,0
4,0,333.0,13.0,1,2,0.0,14.0,4.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,1,0,1,1,1,0,0
4,0,0.0,0.0,1,2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,1,0,0
3,3,1240.0,7.0,3,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,0
2,0,0.0,0.0,1,0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,1,0
5,0,0.0,0.0,1,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,1,0,0
3,3,1031.0,2.0,8,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0,1,0,0,0
3,1,2.0,1.0,0,4,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,0,0,0
0,3,1973.0,77.0,2,0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1,0,0,1,0,1
5,0,1.0,0.0,1,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,0,0,0,1,0,1,0,0
2,0,0.0,0.0,3,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0
4,0,1566.0,2.0,1,6,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1,1,1,0,0,1,0,1,1,0,0,0
0,3,0.0,0.0,0,1,0.0,0.0,7.0,0.0,2.0,1.0,1.0,0.0,0,0,1,1,0,1,1,1,1,1,1,0
3,3,447.0,20.0,8,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0
3,1,783.0,12.0,1,5,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0,1,1,0,0,1,1,0,1,1,1,0
5,1,0.0,0.0,1,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,1,1,0,0
4,0,140.0,16.0,1,4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1,0,0,0,0,0,0,1,0,1,0,1
2,0,41.0,14.0,6,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0
0,3,0.0,0.0,6,1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,0,0,0,0,0,1,0,1,0,1,0,0
5,1,268.0,2.0,0,1,0.0,0.0,3.0,0.0,1.0,1.0,1.0,4.0,0,0,0,0,0,1,0,1,0,1,0,0
0,3,128.0,3.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
3,0,1267.0,5.0,3,2,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,1
3,0,925.0,56.0,1,2,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0
5,2,0.0,0.0,0,1,0.0,0.0,4.0,1.0,1.0,1.0,1.0,5.0,0,0,0,0,0,1,0,1,1,1,0,0
4,0,121.0,18.0,1,6,0.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,1,0,1,0,0
4,0,195.0,9.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,0,1,1,0
2,0,324.0,4.0,6,1,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0
4,0,212.0,1.0,8,2,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,0,0
4,0,804.0,84.0,6,2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0
1,3,76.0,2.0,2,0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,0,0,0,0,0,1,0,1,0,1,0,0
5,1,463.0,3.0,0,5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0,1,0,1,0,1,0,0,1,1,1,0
1,2,407.0,3.0,2,0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1,1,1,1,1,1,1,0
1,2,1285.0,14.0,2,0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0
5,0,300.0,48.0,1,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0,1,0,0,0,1,0,1,1,1,0,0
2,0,313.0,36.0,5,6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0
2,3,92.0,10.0,6,0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,1,1,1,0,0
0,3,9.0,3.0,2,0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1,0,1,0,1,0,0
4,0,11.0,0.0,8,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1
2,0,237.0,22.0,6,6,3.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,1,1,1,1,0,1
3,1,26.0,5.0,1,5,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,1,0,1,0
2,0,0.0,0.0,6,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
3,0,0.0,0.0,6,0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0,1,0,0,0,1,1,0,1,0,1,0
4,0,2150.0,9.0,8,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,0,0,1,0,0
3,3,196.0,6.0,3,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,1,0,0,0
3,1,0.0,0.0,0,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0
3,3,72.0,3.0,0,5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,0,0
4,0,1.0,3.0,7,3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,1,0,0,0,0,1,0,0,0,1,0,0
5,1,30.0,0.0,0,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0,1,0,0,0,0,1,1,1,1,0,0
3,0,637.0,5.0,1,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,0
3,1,1221.0,29.0,6,1,0.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,1,1,1,0,1,0,1
4,0,99.0,39.0,1,7,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,1,0,1,1,0
4,0,288.0,2.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1,0,1,0,1,1,0
2,3,505.0,38.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0
4,0,66.0,15.0,1,3,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1,0,0,1
3,2,0.0,0.0,0,1,0.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,1,1,1,1,1,0,1
0,3,0.0,0.0,0,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0,1,0,0,0,1,1,0,1,1,1,0
0,3,0.0,0.0,0,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,1,1,0
0,3,0.0,0.0,0,1,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,1,1,1,1,0,0
3,0,2506.0,20.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,0,0,1,1,0
1,3,63.0,0.0,6,1,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,1,1,0,0
3,1,17.0,1.0,1,1,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,1,1,1,1,1
2,0,450.0,8.0,6,1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0
2,0,41.0,6.0,4,1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0
4,0,185.0,10.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,1,1,0,0,1,1,0
4,0,36.0,18.0,7,3,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,1,0,1,0,1,0,0
3,1,945.0,18.0,1,5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,1,0,1,0
4,0,514.0,49.0,1,3,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0
3,0,57.0,2.0,3,7,0.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,1,1,0,1,1,0,0
5,1,1.0,0.0,1,1,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0
1,3,5.0,1.0,0,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,1,0
3,0,164.0,7.0,8,2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,1,0,0
4,0,781.0,45.0,9,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,1,0,0
0,3,0.0,0.0,0,1,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0,0,1,1,0,1,1,1,1,1,0,1
5,1,0.0,0.0,0,1,0.0,0.0,5.0,0.0,1.0,1.0,1.0,9.0,0,0,0,0,0,1,0,1,1,1,0,0
4,0,84.0,1.0,8,2,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,1,1,0
3,0,236.0,13.0,1,5,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,1,1,1,0
2,3,245.0,56.0,0,1,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0
1,2,178.0,3.0,2,0,0.0,9.0,3.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,1,1,0,0
0,3,0.0,0.0,0,1,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,1,1,1,1,1,0,0
0,3,9363.0,231.0,0,1,0.0,13.0,3.0,0.0,0.0,0.0,1.0,50.0,0,0,0,0,0,1,0,1,0,1,0,0
4,0,22402.0,274.0,5,6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,1,0,0,0
5,1,15.0,0.0,6,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,0,1,0,1,0
2,0,0.0,0.0,6,0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,1,1,1,0
1,3,912.0,15.0,2,0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,7.0,0,0,1,1,0,1,1,1,1,1,1,1
4,0,333.0,60.0,1,6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0
5,2,3.0,0.0,0,1,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,0,0,0,0,0,1,0,1,0,1,0,0
2,0,256.0,22.0,6,6,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,1,1,1,0,0
