V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,label
618.7,3133.2,181.9,19710.1,10640.1,1008.7,615.8,3939.6,16773.4,1894.4,186.0,3167.1,2071.9,2211.5,598.8,939.7,6652.1,535.6,3864.9,75.9,8379.7,310.6,440.6,134.9,1977.0,64.7,35.1,127.9,574.7,9890.2,124.2,3268.2,883.1,722.4,747.2,335.4,101.4,142.6,80.9,363.3,516.5,117.9,387.1,2429.7,1684.4,14084.5,43794.1,386.5,3274.0,2402.7,4739.7,6796.1,4195.8,7454.8,1206.6,1706.1,7154.2,2071.2,371.0,1072.7,1300.9,286.7,1875.9,43559.2,817.0,1570.0,489.6,763.0,2701.6,129.1,359.2,1220.2,9273.6,8374.6,17307.4,1117.4,989.9,191.3,9064.6,936.3,3572.5,1356.0,9536.8,1152.3,767.8,425.9,3210.6,815.5,1924.9,627.3,420.4,355.9,300.5,796.0,320.4,1039.6,925.4,140.9,500.4,3781.3,1
229.3,223.4,2110.8,22893.2,3727.9,215.3,285.2,696.3,4841.1,935.7,460.6,1924.2,163.1,361.5,122.7,172.7,757.5,93.2,150.6,1605.1,1716.0,388.1,5.1,2.8,244.4,60.0,45.1,75.2,357.7,1422.0,95.3,1504.9,1479.4,7059.1,461.0,397.4,27183.0,13.9,60.5,457.6,189.7,124.2,1174.3,674.7,2159.8,943.6,63424.9,322.4,3632.8,1042.9,955.2,1290.4,1026.9,2136.3,586.8,2468.4,5132.3,2283.6,63.4,195.9,285.5,158.1,362.8,62834.1,87.3,98.1,875.0,8.9,531.5,3918.6,282.9,544.3,4914.1,18.6,268.2,544.5,258.8,18.6,869.9,955.7,3457.2,565.9,814.3,140.8,394.2,363.6,264.8,260.5,1749.4,122.7,209.2,210.7,1550.4,1177.9,282.3,648.2,618.6,28.5,20.5,171.3,1
452.1,4043.8,225.0,24732.8,2365.5,716.7,562.3,3516.7,19150.9,1806.0,421.5,1497.3,336.0,1041.2,485.6,971.4,763.8,208.8,5350.1,18.7,2051.2,431.8,617.3,120.1,277.2,155.5,27.4,45.4,324.2,964.4,169.4,1151.0,1772.7,151.6,1175.0,109.2,233.2,622.8,386.7,442.2,341.1,127.8,705.4,1168.6,2116.0,12097.4,45779.4,797.8,1915.4,996.9,2299.8,2063.5,387.6,839.4,563.8,865.3,6118.1,2412.9,355.7,767.5,907.3,1016.3,1144.5,44305.5,363.9,372.5,597.3,1119.9,1359.5,443.4,371.9,1298.8,3881.2,138.5,1115.1,979.9,349.5,370.3,1476.3,1343.0,2340.4,554.8,1331.2,643.7,834.5,586.0,462.0,183.2,343.4,549.8,215.9,752.6,620.5,699.2,89.9,831.8,299.0,294.8,190.9,4865.9,1
332.3,233.3,671.8,39903.7,837.1,77.2,215.7,171.1,619.4,810.5,903.6,355.6,52.6,240.4,125.5,372.8,510.4,176.6,660.5,690.9,69.8,399.0,148.3,207.9,308.9,15.8,34.6,40.6,24.4,184.9,239.2,134.1,1012.2,2307.2,208.9,63.1,1178.7,22.3,179.1,395.6,266.8,262.3,785.9,198.1,864.0,192.6,2859.8,472.1,595.8,259.2,1694.4,1491.9,186.7,989.9,127.9,280.1,1182.5,419.1,358.8,20.0,85.0,27.2,292.6,2533.3,14.2,74.3,474.0,47.6,351.9,1296.1,203.9,275.3,801.3,16.6,23.0,186.3,510.6,81.7,853.6,2817.8,1760.9,240.6,87.9,50.2,285.8,272.1,474.1,262.1,1076.5,183.0,205.8,212.4,965.5,470.3,71.7,145.2,541.9,11.8,21.7,1310.7,1
193.4,283.6,316.5,28077.2,1516.5,244.8,333.1,528.0,5066.5,2048.1,602.2,976.3,74.2,340.4,247.8,223.3,848.0,214.1,346.8,1238.9,586.6,392.7,79.5,53.9,237.8,162.1,10.4,57.8,340.1,515.3,74.3,995.5,2102.0,6699.2,339.1,382.2,7546.9,174.1,116.7,4681.1,14.6,62.9,258.4,213.9,2148.4,710.9,12443.5,117.1,1375.3,167.9,211.0,437.9,396.6,746.0,339.2,568.2,4665.8,576.0,8.8,30.4,16.9,120.8,330.9,13252.2,71.4,95.5,4974.3,131.1,739.5,3268.3,107.1,959.0,1506.7,22.2,7.9,486.1,345.9,10.1,436.7,788.6,2615.7,582.2,224.6,391.8,225.3,333.7,138.3,1185.9,6368.8,9.1,169.7,205.9,1088.9,257.8,10920.3,473.1,153.6,122.1,11.8,193.5,1
1107.6,9292.5,143.7,24167.8,8577.6,2904.8,2402.5,12085.1,33062.8,2013.3,537.3,3565.3,1678.2,1895.7,1638.5,745.8,2468.6,1612.0,16310.9,14.4,3958.0,285.0,558.4,104.1,143.0,370.5,130.7,2572.7,891.9,1491.3,386.8,2354.6,1291.3,355.6,814.1,903.9,100.5,506.9,561.8,570.6,732.5,110.4,756.9,2203.2,2448.8,30472.1,56999.2,1304.6,2888.0,4133.3,9337.7,8020.6,631.0,2308.4,761.8,4489.4,11091.0,4101.5,540.3,2788.4,2124.5,2551.5,4822.3,42273.3,2775.3,3887.5,713.4,2324.1,811.7,184.2,1270.9,3605.1,15382.4,4540.2,9273.1,931.3,773.6,591.3,2801.6,1088.4,8321.6,396.8,2912.3,2290.0,1262.8,1640.6,904.9,330.0,1733.5,1659.6,604.7,1462.0,227.2,843.6,321.4,4117.2,1281.4,162.2,1332.3,18880.3,1
1327.1,7559.0,143.1,21789.8,15445.5,3343.1,2735.9,10549.9,45003.0,2627.0,470.8,6409.0,924.3,2283.0,3050.0,2535.4,2637.7,7858.6,30809.5,183.3,5405.9,893.0,452.6,1073.1,210.7,295.6,643.5,4880.6,1177.5,3077.8,730.9,2720.0,1475.2,2364.0,1357.1,890.2,48.1,2696.2,2489.3,268.2,663.4,658.7,1795.8,4282.1,2858.0,30108.9,103101.9,3822.4,1959.6,4223.5,6835.5,10631.4,1138.7,2586.7,2132.4,7510.3,20471.8,8408.7,1278.5,2345.1,2647.3,1189.6,5277.6,90362.5,442.2,842.4,349.0,742.3,1179.4,210.4,1990.3,12471.4,20310.4,3542.0,12742.0,1388.2,1372.8,216.4,6971.2,1057.7,4925.0,776.5,5150.6,2714.7,2345.3,2026.0,2640.3,221.6,666.9,2227.4,805.6,2037.4,287.6,3237.3,87.1,5005.7,2403.3,293.6,1349.8,40251.8,1
606.8,106.1,400.9,26088.1,1039.1,231.9,259.4,401.2,4100.8,565.3,1036.3,654.5,138.1,1550.5,141.2,270.5,350.3,97.6,131.1,105.6,219.5,529.6,61.4,43.6,13.6,46.7,18.5,39.0,613.9,503.3,70.9,837.3,1462.7,2520.9,254.3,478.9,311.5,127.3,81.1,512.9,414.8,141.1,861.8,206.7,1644.5,371.5,11981.1,300.7,1351.4,2753.0,2153.1,3563.6,707.8,1069.2,490.1,236.5,2003.1,1458.5,39.0,68.5,117.4,116.2,302.3,12786.6,16.8,35.0,346.7,7.1,718.2,1299.9,687.4,251.0,1289.4,15.3,64.6,594.8,184.3,33.4,667.8,3853.6,2312.5,215.7,402.3,95.2,370.2,222.1,290.1,234.4,1334.0,83.0,203.1,99.3,778.5,1786.4,254.5,250.1,379.0,100.1,17.2,99.2,1
390.7,391.4,499.0,36936.6,745.1,3312.9,2312.4,5608.1,12152.7,2056.8,483.6,354.8,14.6,476.9,34.0,249.9,4152.3,13.5,606.9,293.3,282.8,614.1,55.6,115.8,122.5,68.0,8.0,6.8,253.5,1168.1,66.7,1312.8,1243.1,4499.6,691.9,299.4,554.5,89.6,15.4,331.2,308.4,127.8,2006.5,277.1,1624.5,1695.5,18514.1,1977.5,1784.0,207.2,326.2,568.6,595.7,1193.6,381.0,723.2,6534.1,1861.1,388.3,1172.1,956.0,77.0,1184.4,19776.5,34.9,44.4,976.5,109.9,720.6,621.6,165.3,1596.7,2827.5,46.0,258.6,286.3,181.7,3.7,1920.6,1845.3,6371.5,345.6,285.0,72.1,400.8,372.7,529.8,72.7,353.5,225.8,87.7,363.1,1600.8,2360.6,121.9,2500.5,574.5,4.4,411.1,834.7,1
89.7,237.3,691.3,30859.3,2979.9,171.5,143.1,538.6,2826.1,844.5,1039.3,1000.8,158.8,540.8,124.3,412.8,1275.1,236.7,288.6,647.6,485.0,424.0,222.5,56.5,94.1,166.8,16.9,50.8,125.6,1042.1,164.8,1191.3,1107.4,5069.1,508.1,122.7,1394.2,186.9,121.6,1469.2,107.2,102.9,390.5,242.9,1369.0,455.0,12160.9,112.6,1078.7,189.2,266.6,595.0,585.9,1656.4,403.8,589.6,3821.1,2208.0,101.2,301.2,541.5,180.8,333.3,12833.1,120.6,93.5,2080.1,430.2,830.4,3096.6,517.3,527.8,2037.1,19.1,39.9,609.5,437.1,58.5,873.7,1316.1,3218.4,154.0,567.7,210.1,423.4,368.0,228.6,337.6,776.8,96.4,42.3,47.7,1069.3,452.5,208.7,580.0,722.2,62.5,12.3,357.4,1
741.2,6243.5,195.8,28964.1,10486.0,4825.4,4521.4,18793.6,37770.2,1631.1,918.0,4684.5,851.2,2574.1,1300.1,1929.9,3304.9,10555.0,22470.7,103.9,4839.8,604.6,857.7,446.1,213.4,263.8,453.8,8751.6,2017.0,2447.8,731.9,2598.7,743.7,1243.5,865.1,1178.8,65.8,1517.1,1511.8,372.0,577.2,301.7,1268.2,2786.3,1914.3,20429.7,75985.5,373.1,3064.6,3230.4,5507.5,5883.7,942.0,2252.8,699.7,4608.1,14939.1,4062.1,507.4,2382.5,2303.1,1524.8,3885.5,63313.4,732.0,1135.2,305.7,1251.4,1263.3,266.9,2514.5,3868.0,15442.7,7046.0,19051.6,701.6,1035.9,403.7,3611.3,2536.0,3797.9,178.0,3299.1,1593.0,1160.4,1633.8,1180.9,253.9,804.7,792.7,1256.5,2813.4,499.6,1126.6,19.5,1867.8,1207.1,464.4,1936.2,27518.9,0
264.5,1689.3,150.1,24554.6,4402.5,732.7,388.5,1700.4,14065.1,1074.7,619.4,2533.3,167.8,1415.3,354.7,942.2,2853.3,5089.8,3316.9,14.6,1441.5,367.9,136.3,302.0,36.6,111.3,210.8,282.1,615.8,694.9,424.3,1690.8,1297.0,493.0,816.9,385.1,49.0,892.8,819.7,177.2,243.5,464.1,825.3,1371.1,1448.5,10572.2,45613.2,362.8,1111.5,3427.4,5342.5,9405.8,462.1,1498.4,695.3,2128.9,5154.8,3365.3,716.3,205.3,211.0,385.3,1552.8,42150.4,263.7,515.7,519.3,445.0,918.7,127.4,539.4,2803.9,5987.2,2242.9,4802.5,562.4,467.0,20.8,4965.2,2010.8,6085.3,683.5,1231.0,689.2,1021.8,727.4,1994.0,10.9,1068.9,587.8,595.3,459.7,305.7,1922.8,61.4,1863.7,739.9,281.2,661.7,3241.7,0
293.0,549.5,526.4,36922.1,4760.7,1774.8,1109.8,7821.1,21326.4,2403.6,147.5,2076.7,360.6,1959.4,234.3,2235.2,2968.1,74.2,15265.0,5.5,3386.2,324.2,1085.3,277.3,70.8,271.6,18.0,5938.0,354.3,619.2,47.6,798.7,392.5,278.3,628.3,253.7,71.4,50.4,74.4,224.5,398.2,707.2,519.1,1308.6,971.6,7652.7,46405.4,65.2,2817.6,876.7,5787.4,6524.0,416.0,1646.8,498.0,1232.3,9229.0,6671.8,694.8,2071.1,1332.3,1604.9,3391.6,41120.6,267.4,702.8,658.8,1355.6,1002.1,32.5,807.5,3153.2,14486.2,1481.3,9054.7,172.3,640.7,60.5,3765.5,959.4,6600.4,2147.6,1640.1,938.3,1834.3,892.2,1158.6,163.5,414.6,145.2,229.4,590.4,364.3,639.7,113.6,2351.9,1294.3,10.2,893.9,17355.4,0
1157.9,5841.9,125.5,26081.9,11603.9,1823.0,1413.6,6981.5,40005.8,4327.0,704.9,8277.5,449.1,5678.8,2817.5,3198.5,2325.4,35800.3,8539.1,16.7,4228.9,2610.7,530.6,964.1,179.7,492.5,1997.8,1352.2,5378.8,1975.7,5253.4,4081.1,1224.2,308.5,1732.0,4968.9,93.7,7662.6,8465.0,799.3,659.4,2833.3,1155.8,2520.9,4147.1,17124.3,57710.1,6494.4,5157.3,3983.0,5696.3,6435.7,793.2,2357.0,1607.2,5482.8,15515.4,5032.6,1640.7,2180.8,1736.8,314.0,5805.3,44843.2,1146.3,1676.9,1046.6,2598.9,3317.8,333.7,1585.0,8315.4,15455.9,5504.6,13068.6,2601.7,1484.0,657.8,9027.5,1116.8,6551.9,4145.3,2184.3,1699.3,2471.5,1059.9,5949.4,260.1,705.3,546.8,3620.4,1969.5,410.9,1673.1,202.8,3278.2,1657.3,2524.2,879.8,9846.3,0
1426.9,8399.7,119.4,20777.2,6511.6,3994.9,2920.3,13125.9,39809.7,2403.6,524.5,3198.2,602.6,5000.9,1306.4,2862.4,2854.7,18641.9,22920.6,97.6,5553.7,827.7,1256.2,1106.2,284.4,647.0,1422.6,4550.3,1565.9,3374.1,1145.9,2055.1,1360.2,571.8,2388.7,1429.1,124.8,2597.5,2090.1,289.7,919.4,1275.2,2297.8,3838.6,2481.3,23128.7,87653.5,1580.5,2752.9,4257.4,7276.6,8300.3,964.6,1702.8,1752.4,4830.4,16550.0,4209.1,1642.9,2187.3,2874.9,1302.6,3816.6,82928.5,771.0,1409.5,747.2,1758.0,3168.3,286.0,3766.9,12769.6,14412.8,9332.5,25465.6,1246.5,1036.6,429.8,5620.2,1077.2,5155.3,1433.3,4253.2,1936.8,3246.4,1047.5,3092.7,357.4,329.7,1293.0,1196.1,3381.9,347.7,3110.5,30.9,3247.0,2112.0,1222.7,2982.7,26067.1,0
881.6,4142.0,45.8,31105.3,8884.7,993.7,2204.8,3708.9,16473.7,1290.6,878.2,9129.7,273.6,2038.4,766.1,1907.2,1396.0,4647.0,5707.1,8.8,2797.6,861.7,417.0,685.9,20.0,194.8,593.8,3002.8,843.7,1779.0,735.9,4702.0,1013.5,399.5,577.2,479.3,370.5,1124.5,1144.3,710.0,1120.0,640.6,1409.9,2088.2,687.8,16000.4,30505.0,1186.3,2629.2,2603.1,2970.9,4301.8,500.2,1516.7,1529.0,4808.9,13783.7,3730.1,943.0,314.8,401.8,525.3,1820.6,30880.2,134.9,138.8,1409.4,4812.3,1331.4,123.2,1927.2,4856.0,12170.7,5064.9,8751.0,530.5,1155.6,438.0,4712.0,2455.6,3659.0,506.9,2546.3,1976.6,1447.1,918.8,2136.2,196.3,575.8,419.3,1034.2,1074.2,238.3,2511.1,58.4,5735.9,1057.1,270.1,142.9,7983.9,0
1896.9,1767.8,15.7,11682.4,8033.2,1092.6,882.6,3225.6,50667.7,2027.7,383.3,2531.8,511.7,2319.3,385.0,4364.9,2263.4,9728.8,2957.3,162.7,1924.3,2329.9,1136.2,1547.9,110.5,1352.5,1323.2,939.4,1576.4,2329.6,1853.5,3218.2,1331.8,581.7,1424.4,1644.3,129.3,6462.2,4360.6,536.7,1474.8,2897.7,4558.8,2315.8,3943.0,4158.9,21822.2,10216.6,3488.0,2392.4,2251.7,3532.1,1101.0,1266.1,2055.4,1551.6,17316.4,3080.2,2901.0,514.6,761.8,291.3,2872.7,18414.6,485.9,529.7,609.9,3875.7,4457.1,28.1,2071.7,5780.3,5580.4,11727.7,30329.4,2118.4,531.0,737.6,16278.9,827.2,4271.1,1182.9,6019.0,433.5,2878.2,525.2,7938.0,455.6,973.1,333.1,919.4,2295.1,335.0,6735.2,186.5,1386.1,1088.2,326.1,1164.7,2336.6,0
515.4,2392.1,35.6,26507.4,3462.8,883.5,531.3,2529.1,16393.5,2145.1,976.2,860.0,123.6,2015.4,442.3,1391.0,765.3,13405.3,3981.6,58.0,1129.0,1344.1,491.2,363.9,152.0,398.4,935.4,1758.4,1350.9,907.5,1133.7,1511.6,1620.4,411.8,389.0,1476.6,48.0,4087.7,2773.8,381.8,339.5,1169.1,1486.7,650.2,2015.0,9087.5,45078.7,2106.8,1888.0,1460.2,1685.7,1683.0,503.0,1503.5,840.9,1247.0,4461.0,2217.5,614.4,226.9,309.8,331.8,1663.9,42824.6,139.8,369.6,2029.9,1968.1,695.7,80.7,464.3,3758.1,4552.7,1547.9,4485.9,1118.3,501.4,572.9,3175.9,1188.8,3089.6,626.7,1198.8,470.5,1188.5,482.9,1300.3,168.6,317.4,746.1,995.6,482.0,402.8,2507.1,108.8,1625.7,1061.5,648.7,149.8,4280.7,0
194.9,283.8,179.1,42953.9,383.4,51.1,260.0,663.9,827.6,2204.2,437.6,776.4,221.0,346.7,163.8,160.3,839.7,11.2,169.3,231.0,245.9,266.5,54.5,127.6,308.4,94.5,49.2,43.9,283.4,63.9,142.6,798.3,578.7,1396.7,958.2,178.6,560.0,23.8,48.2,840.2,63.9,169.2,524.9,187.3,524.2,671.1,6336.6,307.0,4764.6,53.0,195.1,424.1,181.1,716.5,420.6,607.5,2030.4,286.3,128.2,11.8,31.0,199.4,950.0,4597.4,159.3,266.9,1103.6,323.3,343.2,579.2,625.6,629.0,1162.7,14.3,6.8,62.2,338.4,146.5,477.8,688.5,5082.3,535.5,181.6,135.9,286.7,165.4,32.9,73.6,293.1,87.7,228.0,189.5,700.6,573.7,1221.1,242.0,953.0,70.3,69.7,64.8,1
231.3,197.9,540.1,23543.6,1343.9,348.5,364.4,523.5,5430.0,414.8,879.7,677.8,154.0,313.6,158.2,248.3,1450.5,34.1,349.0,270.2,244.9,224.8,114.4,43.0,204.2,19.3,23.1,14.8,86.1,240.9,120.7,678.9,872.8,1650.9,350.1,117.5,517.6,79.8,114.6,157.6,155.3,188.8,1119.2,157.4,921.2,323.6,3057.6,442.0,1196.9,1210.4,1989.9,2083.1,809.0,2070.6,335.7,550.9,1574.0,1270.8,128.8,205.1,363.8,35.4,176.2,2886.1,45.5,148.7,1010.8,238.1,688.6,876.9,668.1,262.7,952.5,18.9,242.4,265.1,209.8,27.4,317.4,910.5,1432.4,121.4,314.7,103.8,254.3,322.7,101.2,256.9,150.6,234.8,179.8,145.3,672.7,1491.9,101.0,359.9,778.0,92.3,36.1,379.1,1
