Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Outcome
4.13893,0.893228,402.202,0.27884,0.0066778,0.0,0.863608,0.878408,2.9636,0.188436,4.02451,-0.0227051,0.525841,0.122287,2.94797,984.623,0.415509,9.33169,0.203673,0.682313,0.725743,0.320534,115.254,2.98074,0.453956,0.175978,46.1372,1.68724,0.14469,0.428352,7.13223,1.32869,1.06782,460.853,0.0619162,0.304632,-0.150907,-2.64264,1.33966,0.117712,156.502,-4.93031,1.39194,2.78553,0.0,0.228349,0.19912,3.03874,1.02755,0.253846,1
3.36565,0.244619,52.9966,0.239741,0.0265325,0.32174,1.41309,0.917636,3.07737,0.193244,4.2046,89.5572,0.945042,0.413486,4.30696,2928.73,1.81461,17.2663,0.193047,1.1112,-0.744343,0.385178,379.075,3.32173,0.498628,0.037302,191.098,1.42112,0.144543,0.113756,7.39263,1.35412,0.327902,356.442,0.120256,0.315617,0.758454,-4.92062,1.35544,0.102401,157.178,-20.3961,0.568098,1.97667,0.000914913,0.206945,-0.0631103,1.54052,-0.040891,0.253151,1
4.77425,0.953851,31.1703,0.27441,0.00955414,0.19891,1.2566,0.878999,3.19479,0.195217,4.11232,19.565,0.750103,0.0537126,3.11811,985.322,0.432904,20.464,0.207006,0.727299,1.3213,0.259554,64.1714,3.14506,0.479569,-0.120559,205.8,1.74903,0.131724,0.457161,6.86429,1.36695,1.73856,496.592,0.0464603,0.30202,0.0601742,-2.07368,1.12183,0.090806,157.282,9.69975,1.40051,2.66179,0.0,0.195268,0.104665,2.87216,2.20574,0.259672,1
3.51201,1.08986,63.0348,0.252449,0.0124805,0.247642,1.2337,0.832828,3.44264,0.201093,4.50118,334.595,0.693456,0.275282,1.98885,998.405,0.540385,7.46217,0.304212,1.24383,-0.187971,0.24025,53.3394,5.41948,0.488366,-0.869091,10.1226,1.36147,0.168134,-0.372436,5.58391,1.08721,0.401342,265.033,0.100402,0.330537,0.985366,-4.7964,1.51366,0.0669369,148.28,-27.3548,0.0732204,6.87231,0.00156006,0.097983,-0.00162616,1.31222,-0.275661,0.259607,1
3.64247,0.569222,18.6262,0.251684,0.0209945,0.412165,1.16817,0.850939,3.28917,0.185732,4.39951,259.61,0.821082,0.258743,2.48494,1538.18,0.911212,8.12299,0.270718,1.00285,0.776621,0.280663,148.914,4.5771,0.482406,0.00833165,17.9962,1.45649,0.155724,0.204142,6.27746,1.48608,0.257831,266.152,0.0883624,0.323164,0.69715,-4.20255,1.45046,0.0865162,180.698,12.9723,0.0600917,5.32761,0.0,0.11844,-0.0439714,1.82916,0.175293,0.264479,1
4.36469,0.666595,542.034,0.267121,0.00728155,0.0,0.972594,0.8416,3.20019,0.171534,4.10473,-2.41669,0.703799,0.206577,2.21409,1129.19,0.612976,5.84559,0.237864,1.08114,0.889031,0.376214,120.028,4.75958,0.468857,0.201146,7.92353,1.5856,0.149385,0.216269,7.56893,1.63355,0.398946,339.391,0.0840819,0.372535,0.00782106,-3.71659,1.3416,0.0955403,152.241,-16.473,0.588353,3.26384,0.0,0.155867,0.538392,2.93685,0.850966,0.252857,1
3.26737,3.10585,26.2005,0.204124,0.0,0.195479,1.17029,0.816024,3.39327,0.218851,4.46143,289.639,-0.93842,0.256534,1.7421,355.389,0.190907,6.69799,0.272401,1.20877,0.0216945,0.272401,19.2496,7.29583,0.489701,-0.0479296,5.14134,1.43226,0.116561,-0.334166,4.67596,1.43843,0.579752,276.487,0.0829391,0.508204,0.361655,-3.28724,1.06594,0.0569945,107.899,-24.8645,0.962202,4.438,0.0,0.0704238,0.112016,1.99968,0.62201,0.161602,1
3.00657,0.278866,87.5816,0.277612,0.0240334,0.376876,1.2197,0.916278,3.42941,0.230771,4.18925,122.458,0.967051,0.220397,3.73785,3068.77,2.11021,54.8072,0.364681,0.687103,0.938838,0.342738,268.177,4.77845,0.497174,0.528915,261.91,1.06895,0.165181,-0.350177,4.62269,1.15501,1.24843,403.782,0.12564,0.367912,2.81357,-2.60751,1.3312,0.0661865,125.493,-20.9617,0.13529,4.21401,0.0,0.125011,0.0362897,0.51758,-0.0879337,0.1799,1
4.44528,1.32176,16.3341,0.253675,0.00674157,0.355716,0.484501,0.883559,3.05638,0.150615,4.0569,10.2037,-0.434338,0.18906,2.73635,697.77,0.271152,16.7795,0.217978,0.558016,0.128921,0.32809,89.119,2.51095,0.427955,-0.00966376,208.636,1.87351,0.137425,0.238018,7.76274,1.18872,2.258,493.918,0.0413212,0.270265,-0.576982,-1.32657,1.19057,0.135015,138.388,-18.3624,1.5608,2.18382,0.0,0.272119,0.246925,2.99342,0.960609,0.251653,1
2.65248,0.369824,0.169038,0.255384,0.0110742,0.388385,1.18138,0.901499,3.31268,0.239376,4.24211,203.745,0.989941,0.263466,3.40632,2524.08,1.66188,9.69116,0.30454,0.798762,0.180308,0.316722,179.334,4.39516,0.497135,-0.0016444,20.1098,1.14699,0.187069,-0.276715,5.20588,1.20951,0.909414,335.323,0.150368,0.339939,1.63304,-3.5889,1.47056,0.069188,135.35,-35.0112,0.133351,4.55288,0.00221484,0.133808,-0.0138012,0.677273,0.0811976,0.239876,1
3.40183,0.692634,4.54317,0.211617,0.0117474,0.209545,1.6263,0.899779,3.35851,0.232051,4.25355,87.5948,0.632443,0.120711,2.78913,1489.4,0.869927,19.2617,0.281938,1.32208,0.21626,0.320117,172.515,3.23742,0.49916,-0.1939,25.8363,1.19752,0.150079,-0.401723,5.88792,1.13339,1.60042,443.446,0.142176,0.306124,1.35948,-2.30347,1.39425,0.103457,118.905,-8.50189,0.629118,3.64116,0.00146843,0.179832,-0.176996,0.684672,0.22847,0.224487,1
4.68539,0.671732,159.269,0.275049,0.00341297,0.0,0.813738,0.821301,3.15121,0.175885,3.73772,59.556,0.0842001,0.0459867,2.23485,806.78,0.275361,11.4501,0.226962,0.996754,1.63559,0.361775,39.5647,2.81431,0.45222,0.323091,194.835,1.80853,0.1104,0.343866,8.99224,1.22144,0.806536,457.289,0.0240277,0.345639,-0.131254,-2.37986,1.04092,0.0933703,155.283,-25.2067,0.680371,2.13096,0.0,0.252876,0.828899,6.12601,2.01457,0.243101,1
4.34836,0.906734,51.9508,0.236591,0.0120664,0.235155,1.08654,0.886595,3.29309,0.17782,4.30775,149.144,0.665302,0.368072,2.61307,1228.14,0.620084,7.21232,0.239819,0.583031,-0.0857108,0.298643,114.68,3.48068,0.469404,-0.137986,68.2495,1.26652,0.19625,-0.160782,5.30304,1.21015,0.899383,403.387,0.0565196,0.197862,0.655391,-3.42476,1.62752,0.0904293,154.429,13.221,-0.230133,3.47251,0.0,0.149135,-0.29777,1.33347,1.87778,0.271163,1
4.44519,1.34295,4.15671,0.261553,0.00519031,0.516561,1.07386,0.802877,3.3478,0.223682,4.43167,357.008,0.388813,0.156103,1.53518,581.832,0.38793,5.44015,0.294118,1.08449,1.67287,0.32872,31.6889,9.34594,0.456577,0.59886,3.32827,1.53022,0.122831,0.0668996,5.70076,1.81316,0.26844,188.247,0.131232,0.42949,-0.00413637,-4.46507,0.991849,0.0526178,153.257,-0.97657,0.77558,4.22332,0.0,0.0686859,0.407667,3.09821,1.16864,0.272132,1
3.10341,0.56107,103.811,0.237411,0.00747384,0.295277,0.921506,0.914279,3.42383,0.190564,4.24682,98.8869,0.973781,0.147005,2.84897,1598.27,1.08376,50.1806,0.315396,0.728037,0.670878,0.316891,181.332,3.794,0.437742,0.800696,119.238,1.02983,0.156414,-0.64789,4.36558,1.11473,1.3456,443.023,0.130533,0.247171,2.474,-2.49376,1.36081,0.0805946,111.332,-6.71361,0.450201,6.49233,0.0,0.137803,-0.127133,0.575181,0.0936092,0.226546,1
3.05767,0.220345,114.528,0.251828,0.0277296,0.350674,1.221,0.926047,2.99717,0.179174,4.08167,259.318,0.984652,0.315038,4.32526,3490.49,2.34212,12.2622,0.219237,0.988053,0.0684975,0.37435,349.407,3.72322,0.493817,-0.0249867,45.939,1.25868,0.152137,0.114993,6.71119,1.34014,0.380365,299.775,0.109615,0.2895,1.30305,-4.9922,1.59707,0.084789,175.755,11.9909,-0.145832,2.9166,0.0017331,0.167119,-0.0591833,0.976684,0.062343,0.244178,1
4.34396,0.650843,68.8133,0.261435,0.0109091,0.211758,1.01415,0.784843,3.30576,0.178291,4.34732,295.688,0.392165,0.267984,1.8288,980.236,0.499212,6.70091,0.241212,1.21249,0.983315,0.332121,54.0761,5.91746,0.438913,0.214686,10.9554,1.71467,0.141364,0.214511,7.6724,1.48424,0.215028,181.634,0.0441054,0.352222,-0.194474,-4.74418,1.4348,0.0809508,196.509,-6.08163,-0.0895845,4.69838,0.0,0.117594,0.247843,2.89208,2.08706,0.255807,1
3.77932,2.72791,37.4501,0.253963,0.0,0.246096,1.09156,0.83031,3.16594,0.201044,4.29477,362.875,0.125072,0.0859577,1.52948,376.253,0.197997,6.7952,0.246418,0.897661,1.37581,0.309456,13.1932,4.31328,0.482171,0.191866,5.22707,1.51774,0.130077,0.0616151,6.50904,1.25178,0.579758,186.358,0.0535061,0.352634,0.454661,-3.11665,1.18119,0.0791752,137.222,-16.5698,0.270883,3.08631,0.0,0.105492,0.358766,1.34878,0.0522212,0.291887,1
2.9784,0.343725,279.075,0.239153,0.024777,0.0,1.48231,0.89618,3.32463,0.253495,4.28739,318.618,0.964196,0.352126,2.90051,2297.2,1.72092,8.92527,0.318137,1.01529,0.872969,0.34886,193.325,5.27835,0.479374,0.215518,17.048,1.32572,0.150009,0.0398664,5.60099,1.41107,0.642148,229.621,0.128375,0.368233,1.07302,-4.14922,1.37081,0.0717282,151.531,-12.0638,0.213835,5.11849,0.00099108,0.104996,0.106833,0.686813,-0.0821514,0.261132,1
3.49411,0.205183,261.955,0.235481,0.0520741,0.27165,1.2629,0.93901,3.22007,0.166367,4.48432,98.9692,0.99354,0.476929,4.80711,3552.45,2.37197,31.6135,0.233892,1.05298,-0.175129,0.324801,474.297,3.2954,0.489589,0.11746,46.5192,1.27213,0.129654,0.174521,5.29553,1.3858,0.251884,389.802,0.10762,0.230369,1.1634,-5.20758,1.68579,0.0840539,193.836,56.12,-0.693925,3.14167,0.00176523,0.162326,-0.740966,1.28131,0.0211562,0.250357,1
4.07274,0.360552,26.6215,0.266042,0.00102041,0.466048,1.44613,0.929746,2.97941,0.183555,3.80651,118.814,0.958783,0.0349639,3.68996,2143.87,1.27662,38.4263,0.204082,1.04268,0.823826,0.393878,240.832,3.39763,0.499223,0.23869,0.0,1.41526,0.150876,0.19977,7.31698,1.30422,0.589575,444.088,0.13423,0.324894,0.0963575,-3.89711,1.18196,0.0863431,139.396,-9.38454,1.28917,1.87667,0.0,0.203924,0.404495,1.67857,0.159792,0.242051,1
3.72899,0.362352,15.5651,0.223936,0.0212054,0.292674,1.65661,0.926713,3.07533,0.190715,4.36055,21.205,0.892226,0.316868,3.23263,1548.43,1.34723,27.9445,0.253348,0.881391,0.274296,0.356027,236.485,3.61751,0.491335,0.535466,0.0,1.19791,0.125435,0.577505,4.44498,1.79899,1.37619,496.99,0.108844,0.240309,2.17027,-2.66915,1.12511,0.062347,133.347,43.2443,1.19968,2.16386,0.0,0.123024,0.0405134,1.16254,0.263952,0.384847,1
2.95517,0.547541,27.7829,0.251856,0.0012987,0.405959,1.27811,0.891699,3.4703,0.20976,4.25575,177.289,0.960379,0.222038,2.58444,1635.95,1.09469,21.1327,0.34026,0.920571,1.26203,0.287013,134.362,4.66802,0.494232,0.250146,57.0223,1.16726,0.195307,-0.255059,4.58282,1.06975,0.498245,376.564,0.141474,0.279883,1.96601,-3.72551,1.23622,0.0753175,122.664,-11.5511,0.299519,4.71639,0.0,0.101851,0.0034577,0.719331,0.299352,0.26748,1
4.4878,1.17806,38.4583,0.272009,0.00183824,0.0,0.758441,0.761113,3.16097,0.166035,4.0765,61.757,-0.729286,0.0652032,1.69267,567.043,0.252803,6.14339,0.262868,0.7481,1.30799,0.295956,49.0994,4.76785,0.435556,0.257141,142.734,1.85476,0.142389,0.192984,7.69327,1.76944,0.743804,355.848,0.0187503,0.329759,-0.367798,-3.46421,1.26775,0.0885561,170.593,5.17084,0.0183884,4.03858,0.0,0.126747,0.58758,6.03306,0.982021,0.324779,1
4.12486,1.45322,13.2359,0.198841,0.00208768,0.527367,1.5205,0.855612,3.59476,0.281422,4.55463,266.35,0.664849,0.19831,1.71837,642.669,0.443903,15.4783,0.306889,1.12581,0.990446,0.286013,54.3469,7.04743,0.494051,0.702868,33.1561,1.23719,0.110307,-0.338925,4.55274,1.4836,0.552546,310.232,0.159033,0.424272,0.367285,-3.82897,0.995889,0.0590038,105.816,-4.77701,0.847548,4.25683,0.0,0.0622811,0.25383,0.77844,1.01217,0.2842,1
3.5452,0.746621,500.489,0.221254,0.0015949,0.1084,1.24454,0.899251,3.39247,0.229233,4.18778,16.8939,0.866818,0.114071,2.32305,1112.74,0.787837,26.0915,0.311005,1.09502,1.21967,0.330144,90.5378,4.23279,0.495935,0.524981,82.1588,1.30408,0.121447,-0.404905,4.57266,1.10207,0.810808,447.774,0.10293,0.315624,0.855613,-3.37865,1.26071,0.0589303,115.946,14.1908,0.310659,3.14318,0.0,0.108157,0.146588,0.726919,0.0205329,0.209228,1
3.03589,0.699036,18.0888,0.233502,0.0101744,0.439001,1.53584,0.906033,3.36773,0.296005,4.18956,245.88,0.552322,0.132802,2.35293,1279.99,0.862923,16.2758,0.31686,1.22037,1.34412,0.300872,124.516,4.93823,0.497751,0.0967467,5.75871,1.09185,0.135036,0.0671724,4.64841,0.994397,1.05153,320.837,0.182373,0.367597,1.47539,-3.27954,1.43394,0.0600636,144.224,3.17823,-0.37842,3.72677,0.0,0.112403,-0.237901,0.59292,0.131658,0.176882,1
3.42911,0.449192,34.8058,0.22841,0.0304519,0.362707,1.28446,0.864769,3.32908,0.203982,4.58579,341.364,0.822025,0.434568,2.38718,1694.9,1.06433,9.2875,0.248527,0.958773,0.169621,0.290766,163.722,5.11153,0.463765,-0.102013,20.9205,1.33175,0.132723,0.0238691,6.38316,1.54251,0.22545,146.532,0.0924455,0.323234,0.96735,-4.70718,1.59623,0.0792788,193.007,19.8241,-0.361445,4.20807,0.00392927,0.114659,-0.177269,1.22579,0.437873,0.249397,1
5.1072,0.184655,1366.22,0.324097,0.0249377,0.10384,1.07515,0.917831,3.2277,0.133648,3.96693,133.505,0.767905,0.89295,7.35155,6506.12,1.73138,261.392,0.114713,0.163296,-7.98177,0.374896,1126.44,1.8347,0.361622,-1.29873,457.984,1.45969,0.172673,0.0901176,8.89806,0.328703,1.8196,279.875,0.0354062,0.135976,1.05537,-2.19091,1.93057,0.224887,230.527,-90.2576,-0.872485,4.92936,0.139651,0.435779,-5.44792,2.30919,0.127021,0.174454,1
4.42872,1.12778,173.69,0.250409,0.0,0.0,0.771064,0.886604,3.08409,0.17305,3.90245,-0.699402,0.125804,0.0700368,2.33608,826.972,0.428993,11.7822,0.241007,0.883127,0.873044,0.368705,88.8039,3.94963,0.477668,0.304463,6.01011,1.4599,0.173703,-0.286933,6.675,1.44113,0.585898,439.085,0.103107,0.352899,0.290325,-3.70427,1.04445,0.0904901,120.228,-24.7973,1.99239,2.46767,0.0,0.179267,0.532389,1.83584,2.17127,0.230183,1
3.26543,0.90053,301.761,0.256802,0.00554529,0.0,1.8105,0.905419,3.29758,0.234689,4.19242,-0.482971,0.663243,0.117013,2.58326,1082.39,0.698374,10.6324,0.334566,1.19835,0.848196,0.314233,101.062,4.49183,0.455404,0.523399,71.2362,1.26952,0.155337,-0.378446,4.66276,1.31237,1.31367,447.826,0.143122,0.345294,1.80953,-1.98237,1.07629,0.0821592,103.981,-11.0807,0.976897,3.45608,0.0,0.143157,0.0838453,0.609686,0.518703,0.223314,1
4.94236,1.71448,13.4225,0.286561,0.00505051,0.294868,0.70138,0.77757,3.22371,0.182484,4.17433,42.1789,0.832089,0.0657835,1.64927,417.266,0.170934,5.58826,0.237374,0.638947,1.69472,0.310606,39.0137,4.19767,0.486141,0.308615,144.28,1.90388,0.152933,0.293565,8.34775,1.57784,0.697924,427.748,0.0254752,0.360231,-0.753782,-3.21969,1.33641,0.0992374,169.809,-10.3231,0.251393,2.75701,0.0,0.176272,0.655016,6.47244,1.75842,0.241256,1
3.26407,0.496725,26.842,0.230959,0.0321888,0.437516,0.926624,0.859035,3.46536,0.209004,4.55223,405.008,0.939956,0.407374,2.36509,1627.18,1.04794,16.5761,0.270386,0.732535,0.923872,0.316524,119.859,4.99642,0.470777,-0.368822,29.4066,1.32216,0.122602,0.052245,5.71869,1.43262,0.151254,137.056,0.0889264,0.335303,1.16416,-5.14282,1.36114,0.0692971,170.882,8.92991,-0.107052,7.3737,0.00536481,0.105761,-0.0475655,1.01482,-0.0168828,0.285253,1
3.94435,0.695366,10.9604,0.278627,0.0434084,0.119868,0.707823,0.877606,3.93362,0.136637,4.8293,284.409,0.87683,0.611327,2.63582,1465.52,0.800896,4.084,0.344051,0.155562,-1.57219,0.257235,102.399,3.72567,0.493299,-1.77879,31.7769,1.09636,0.22303,-0.886098,4.47959,0.797947,1.20396,393.542,0.0525562,0.261303,2.48472,-2.83039,1.24157,0.0681448,134.093,-53.7039,0.432312,10.6418,0.0257235,0.130724,-0.443744,0.627098,0.174293,0.24188,1
3.61505,1.91812,26.8258,0.205768,0.0127551,0.171217,1.42049,0.866433,3.5499,0.224134,4.46104,199.857,0.285228,0.276135,1.8556,595.646,0.321732,9.80212,0.313776,1.13082,0.345822,0.313776,36.7287,6.7762,0.492356,-0.57203,3.73801,1.34687,0.163752,-0.526583,4.95127,1.28543,0.534487,386.694,0.0939334,0.483957,1.29839,-3.98675,0.969417,0.058967,102.104,-30.1245,1.29978,5.54801,0.0,0.0890071,0.0934883,1.15013,-0.218523,0.148119,1
4.66291,0.536253,12.6701,0.262205,0.00700117,0.387636,0.844278,0.819105,3.16483,0.16881,4.20768,134.655,0.771208,0.35563,2.30699,1222.7,0.581898,7.59071,0.232205,0.698752,0.00678519,0.298716,117.621,3.33791,0.499927,-0.138625,154.049,1.67097,0.129651,0.0925604,8.29446,1.43468,0.422918,318.091,0.040372,0.304318,-0.246627,-4.08133,1.63274,0.10691,188.361,-4.99023,-0.252341,3.85486,0.0,0.185906,0.0212874,3.94254,0.0865486,0.281275,1
5.52356,0.526237,155.738,0.313958,0.0117371,0.0979589,0.871259,0.814755,3.32156,0.163638,3.86836,181.104,-0.175123,0.231531,2.83626,1406.78,0.498306,31.0829,0.237089,0.444403,0.0324897,0.309859,104.513,3.42528,0.373249,-0.194791,161.309,2.10407,0.184159,0.0607981,10.0323,1.18968,1.04894,403.259,0.050597,0.28541,-0.433752,-3.06513,1.16445,0.113334,184.319,-48.0266,0.0832124,2.10968,0.00117371,0.211389,0.092172,4.99969,2.85556,0.230276,1
4.50699,0.724221,2.93005,0.197241,0.0102916,0.243467,1.67717,0.92436,3.20006,0.148511,4.28251,3.49823,0.740191,0.0740496,2.93703,860.55,0.671907,21.6277,0.231561,1.67196,0.617298,0.349914,189.961,2.80554,0.497263,0.641202,168.481,1.41107,0.0936869,0.588086,5.19305,1.66664,0.802769,493.859,0.143965,0.22547,0.941772,-2.49517,1.14634,0.0947489,127.215,43.8887,1.21428,3.61403,0.0,0.178563,0.0550824,1.41053,3.14513,0.32477,1
4.46009,0.462693,509.972,0.260927,0.0119177,0.0,0.985385,0.854515,3.16391,0.168449,4.0699,-0.341431,0.481992,0.283218,2.38248,1362.78,0.689297,8.04326,0.221018,1.43735,0.159774,0.336945,129.871,3.16649,0.46487,-0.0751883,3.83126,1.68839,0.158304,0.186874,8.8382,1.33769,0.559774,296.021,0.0915846,0.314705,-0.115336,-3.36002,1.23396,0.118828,167.527,-24.2603,0.181927,5.57087,0.0,0.201864,0.322178,3.66054,0.790845,0.2594,1
3.98915,0.388351,9.96484,0.213842,0.0335648,0.238181,1.13638,0.925222,3.32148,0.16051,4.37748,118.28,0.821051,0.522994,4.17006,2531.22,1.33912,31.97,0.232639,0.790895,-1.19788,0.291667,379.299,2.64358,0.486822,-0.629492,62.1334,1.11599,0.174886,-0.0885574,4.91438,1.16162,0.966209,413.031,0.0965857,0.197793,1.31344,-3.45215,1.92355,0.0906971,170.341,27.5359,-0.676266,5.57016,0.00694444,0.189019,-0.868452,1.21785,0.610447,0.204555,1
4.97932,1.00794,276.127,0.317152,0.00684932,0.0,0.748736,0.797159,3.39787,0.118437,4.25044,-0.806458,-0.00802849,0.0315751,1.88339,674.253,0.269646,10.7154,0.27226,1.08357,1.74279,0.299658,53.9505,3.29096,0.491154,0.344973,153.445,1.77185,0.175538,0.65294,8.61612,1.49489,0.509821,433.513,0.0397949,0.265989,-0.104014,-3.16224,0.96605,0.103746,152.274,4.64683,1.57353,2.37603,0.0,0.197445,0.684112,5.60829,2.24016,0.295933,1
4.32509,2.18719,43.3301,0.244837,0.00228833,0.170542,0.927967,0.784072,3.46545,0.159253,4.45308,266.323,0.861387,0.193966,1.57976,473.928,0.25093,6.72157,0.2746,1.53358,1.35254,0.327231,33.6397,4.29943,0.492786,0.664464,6.02404,1.4674,0.137746,-0.128631,6.40714,1.58399,0.954232,236.08,0.0811234,0.421923,0.121915,-2.8213,0.997914,0.0895738,126.433,-21.1986,1.42328,3.7919,0.0,0.117569,0.422738,2.33345,2.13517,0.249045,1
