V1,D1,V2,V3,D2,D3,D4,V4,D5,D6,V5,D7,D8,V6,label
1.0,192,4.04,1.0,2,4,109,1.0,1,7,1.0,1,67,1.0,1.0
1.0,257,3.0,2.0,2,4,25,1.0,0,0,0.0,1,0,201.0,0.0
1.0,24,0.165,2.0,1,3,6,0.0,0,0,1.0,0,97,1.0,0.0
1.0,76,2.5,2.0,0,0,2,0.0,0,0,1.0,1,31,4209.0,0.0
0.0,69,8.46,1.0,13,3,56,0.0,0,0,0.0,1,54,1.0,1.0
1.0,20,0.205,2.0,5,3,1,0.0,0,0,0.0,1,97,751.0,0.0
1.0,26,10.415,1.0,5,3,3,1.0,0,0,0.0,1,37,376.0,0.0
0.0,123,1.5,2.0,6,3,46,1.0,0,0,0.0,0,117,1.0,0.0
0.0,32,9.25,1.0,7,3,25,1.0,1,4,1.0,1,23,501.0,1.0
1.0,71,0.75,2.0,2,3,38,0.0,1,1,1.0,1,130,10.0,0.0
1.0,335,12.75,1.0,7,6,84,1.0,0,0,0.0,1,35,1.0,0.0
0.0,81,9.0,2.0,10,3,109,1.0,1,5,1.0,1,37,1.0,1.0
1.0,200,3.165,2.0,13,6,73,1.0,0,0,1.0,1,162,1.0,0.0
0.0,321,4.25,1.0,0,0,84,0.0,0,0,1.0,1,0,5.0,0.0
0.0,308,0.165,2.0,0,0,0,0.0,0,0,1.0,0,18,28.0,0.0
1.0,245,4.04,2.0,12,6,100,1.0,1,8,0.0,1,106,1.0,1.0
1.0,254,5.04,2.0,10,6,119,1.0,0,0,1.0,1,26,1.0,1.0
1.0,245,1.25,1.0,8,3,6,0.0,0,0,0.0,1,0,196.0,0.0
0.0,185,0.75,2.0,3,4,25,1.0,1,3,1.0,1,74,1.0,0.0
1.0,102,12.5,2.0,12,3,29,1.0,1,22,1.0,1,44,259.0,1.0
1.0,87,6.625,1.0,1,3,92,1.0,0,0,1.0,0,31,1.0,1.0
1.0,79,11.625,1.0,8,3,22,1.0,0,0,1.0,1,52,301.0,1.0
1.0,154,2.5,2.0,12,6,51,0.0,0,0,1.0,0,110,1.0,0.0
1.0,214,4.0,2.0,7,4,84,1.0,0,0,1.0,0,97,1.0,0.0
1.0,109,1.54,2.0,8,3,3,0.0,0,0,0.0,1,31,1.0,0.0
0.0,143,0.665,2.0,8,3,6,0.0,0,0,1.0,1,101,1.0,0.0
0.0,75,1.835,2.0,4,2,0,0.0,1,1,0.0,1,68,54.0,0.0
1.0,13,3.0,2.0,3,3,1,0.0,0,0,1.0,1,52,41.0,0.0
1.0,138,14.79,2.0,5,3,85,1.0,1,5,1.0,1,56,1.0,1.0
0.0,133,3.54,2.0,2,4,13,1.0,0,0,1.0,1,58,1.0,0.0
1.0,193,0.0,2.0,7,3,0,0.0,0,0,0.0,2,64,1.0,0.0
1.0,80,0.585,2.0,7,6,2,1.0,0,0,0.0,1,62,1.0,0.0
1.0,94,11.25,2.0,7,3,57,1.0,1,17,0.0,1,68,1209.0,1.0
0.0,30,7.5,2.0,10,3,61,1.0,1,5,0.0,1,64,26727.0,1.0
1.0,12,0.25,2.0,10,3,8,0.0,1,4,0.0,1,52,9.0,0.0
0.0,6,0.335,2.0,0,0,0,0.0,1,1,0.0,1,52,127.0,0.0
1.0,177,2.5,2.0,5,3,42,0.0,1,2,1.0,1,164,1.0,0.0
0.0,45,10.0,2.0,7,6,25,1.0,1,4,0.0,1,14,1466.0,1.0
0.0,60,1.75,1.0,4,2,0,0.0,0,0,0.0,1,52,1.0,0.0
1.0,180,1.04,2.0,11,6,98,1.0,0,0,1.0,1,54,31286.0,1.0
0.0,98,2.085,2.0,7,6,62,1.0,0,0,1.0,1,116,2.0,0.0
0.0,91,3.0,2.0,10,6,43,1.0,1,18,0.0,1,0,501.0,1.0
1.0,156,0.0,2.0,8,3,30,1.0,1,1,0.0,1,69,1.0,1.0
1.0,49,5.085,1.0,4,3,7,0.0,0,0,0.0,1,44,185.0,0.0
0.0,240,8.125,1.0,3,3,4,0.0,1,2,0.0,1,64,19.0,0.0
1.0,139,1.25,2.0,7,6,6,0.0,1,2,1.0,1,130,109.0,0.0
1.0,243,0.5,1.0,6,3,13,0.0,0,0,1.0,1,41,1.0,0.0
0.0,140,0.46,2.0,3,3,14,1.0,1,4,0.0,1,123,501.0,1.0
1.0,311,0.5,1.0,3,6,74,1.0,0,0,0.0,1,62,315.0,1.0
1.0,187,5.5,1.0,7,3,36,0.0,0,0,1.0,1,17,1.0,0.0
1.0,94,12.0,2.0,3,3,51,1.0,1,2,1.0,1,37,6.0,0.0
0.0,112,2.54,1.0,0,0,0,0.0,0,0,1.0,1,62,61.0,0.0
0.0,179,4.625,2.0,10,6,39,1.0,1,2,0.0,1,0,1.0,1.0
1.0,184,2.165,2.0,7,3,36,0.0,0,0,0.0,2,37,1.0,0.0
1.0,206,5.5,2.0,2,4,84,0.0,0,0,0.0,1,72,688.0,0.0
1.0,37,0.29,2.0,3,3,7,0.0,0,0,0.0,1,97,365.0,0.0
1.0,86,0.875,2.0,10,3,82,1.0,1,2,1.0,1,155,2001.0,1.0
0.0,152,6.5,2.0,7,4,75,1.0,1,7,1.0,1,0,3066.0,1.0
1.0,41,7.0,2.0,7,3,13,0.0,0,0,0.0,1,0,1.0,0.0
1.0,98,0.58,2.0,7,3,7,1.0,1,7,1.0,1,29,5125.0,1.0
1.0,141,4.75,2.0,6,3,46,0.0,1,1,1.0,1,145,69.0,0.0
1.0,261,2.25,2.0,2,4,19,1.0,0,0,0.0,1,158,1.0,0.0
1.0,135,1.165,2.0,3,3,13,1.0,0,0,0.0,0,97,1.0,0.0
1.0,162,3.0,1.0,2,4,100,0.0,0,0,0.0,1,0,2.0,0.0
1.0,44,9.96,2.0,9,1,0,1.0,0,0,0.0,1,0,1.0,1.0
1.0,268,8.5,2.0,12,6,123,1.0,1,1,1.0,1,25,2001.0,1.0
0.0,73,2.29,2.0,10,6,52,1.0,1,7,1.0,1,44,2385.0,1.0
0.0,48,3.0,2.0,10,3,4,1.0,1,3,0.0,1,31,7.0,1.0
1.0,125,1.5,2.0,8,3,51,0.0,1,1,1.0,1,31,4.0,0.0
1.0,243,2.25,1.0,13,6,114,1.0,0,0,1.0,1,60,1.0,0.0
1.0,317,28.0,1.0,7,3,131,1.0,1,21,0.0,1,0,16.0,1.0
0.0,338,0.165,2.0,0,0,0,1.0,1,1,0.0,1,83,101.0,1.0
0.0,68,11.25,1.0,13,6,19,1.0,1,4,0.0,1,0,322.0,1.0
0.0,87,2.5,1.0,2,4,80,0.0,0,0,0.0,1,68,457.0,0.0
0.0,344,6.0,2.0,0,0,0,0.0,0,0,0.0,0,0,1.0,0.0
1.0,202,0.75,2.0,3,3,36,0.0,0,0,1.0,1,82,1.0,0.0
1.0,286,12.0,2.0,6,3,127,1.0,0,0,0.0,0,34,1.0,1.0
0.0,127,15.0,1.0,9,7,0,1.0,0,0,0.0,1,0,13213.0,1.0
1.0,199,2.5,2.0,3,3,80,1.0,1,7,0.0,1,48,1271.0,1.0
1.0,292,7.585,2.0,2,4,104,1.0,1,15,1.0,1,0,5001.0,1.0
1.0,349,5.5,2.0,7,3,14,1.0,0,0,0.0,1,0,341.0,0.0
1.0,138,13.0,2.0,1,6,13,0.0,0,0,0.0,1,80,1.0,0.0
0.0,11,0.5,2.0,2,3,4,0.0,1,6,1.0,1,85,36.0,0.0
0.0,5,0.165,2.0,5,3,25,0.0,1,2,1.0,1,106,2.0,0.0
1.0,332,14.5,2.0,0,0,129,1.0,1,15,1.0,1,0,1001.0,1.0
1.0,126,2.0,2.0,3,6,76,1.0,1,2,1.0,1,63,1.0,1.0
1.0,248,1.54,2.0,2,4,72,0.0,0,0,0.0,1,75,1.0,1.0
1.0,85,9.0,2.0,5,3,6,0.0,0,0,1.0,1,0,1.0,0.0
1.0,89,13.335,1.0,5,3,1,0.0,0,0,1.0,1,37,476.0,0.0
1.0,195,15.0,2.0,11,5,91,1.0,1,9,1.0,1,0,135.0,1.0
1.0,184,1.25,2.0,8,3,28,0.0,0,0,0.0,1,37,1.0,0.0
0.0,242,10.0,2.0,10,6,42,1.0,0,0,0.0,1,7,838.0,1.0
1.0,46,1.835,2.0,7,3,51,1.0,1,1,0.0,1,31,151.0,1.0
1.0,217,1.125,1.0,1,3,36,0.0,0,0,1.0,1,137,1.0,1.0
1.0,287,4.25,2.0,6,3,3,1.0,0,0,1.0,1,79,1.0,1.0
1.0,75,0.75,2.0,6,3,13,0.0,0,0,1.0,0,106,1.0,0.0
1.0,198,3.375,2.0,7,6,108,0.0,0,0,1.0,1,0,1.0,0.0
1.0,9,2.75,2.0,5,3,17,0.0,1,1,0.0,1,23,22.0,0.0
1.0,71,10.5,2.0,10,6,32,1.0,0,0,0.0,1,31,1.0,1.0
0.0,60,11.75,2.0,7,3,6,0.0,0,0,1.0,1,62,1.0,0.0
0.0,95,2.54,1.0,5,3,6,1.0,0,0,1.0,1,119,1.0,1.0
1.0,208,2.125,1.0,8,3,2,1.0,1,1,0.0,1,14,1188.0,1.0
0.0,133,3.75,2.0,7,3,6,0.0,1,1,1.0,1,10,155.0,0.0
1.0,65,12.125,2.0,7,3,71,0.0,1,2,1.0,1,62,174.0,0.0
1.0,189,1.54,2.0,12,3,37,1.0,1,1,1.0,1,155,50001.0,1.0
1.0,198,2.5,2.0,2,3,25,0.0,0,0,1.0,1,72,1.0,0.0
1.0,133,3.625,2.0,5,3,6,0.0,0,0,1.0,1,31,1.0,0.0
0.0,34,5.415,2.0,2,6,7,0.0,0,0,0.0,1,23,485.0,0.0
1.0,78,1.0,2.0,7,3,22,1.0,0,0,0.0,0,101,1.0,1.0
1.0,10,0.125,2.0,7,3,4,0.0,0,0,0.0,1,42,1.0,0.0
0.0,42,0.125,2.0,10,3,25,0.0,1,1,0.0,1,85,769.0,1.0
1.0,67,11.0,2.0,8,3,46,1.0,1,1,0.0,1,23,279.0,1.0
1.0,187,5.085,1.0,2,4,27,0.0,0,0,1.0,1,148,1.0,0.0
0.0,322,0.335,2.0,2,4,25,1.0,0,0,1.0,1,87,2198.0,0.0
1.0,8,0.835,2.0,6,3,2,1.0,0,0,0.0,0,68,1.0,0.0
1.0,176,2.5,2.0,12,6,62,1.0,1,6,0.0,1,52,2073.0,1.0
1.0,285,25.085,2.0,8,3,42,1.0,1,3,0.0,1,37,15.0,1.0
1.0,189,2.75,2.0,2,4,57,0.0,0,0,1.0,1,83,201.0,0.0
1.0,25,1.21,1.0,9,1,0,0.0,0,0,0.0,1,31,1.0,0.0
1.0,265,0.5,2.0,6,3,115,1.0,0,0,0.0,0,130,1.0,0.0
1.0,227,1.75,2.0,3,3,13,0.0,0,0,1.0,1,101,3.0,0.0
1.0,163,0.75,1.0,5,3,72,0.0,0,0,1.0,1,106,1.0,0.0
1.0,95,1.71,2.0,13,3,40,1.0,1,1,1.0,1,127,21.0,1.0
1.0,340,11.0,2.0,9,7,130,1.0,1,7,1.0,1,4,1.0,1.0
1.0,246,0.0,2.0,7,4,125,1.0,0,0,0.0,1,0,1.0,1.0
1.0,159,1.125,2.0,0,0,0,0.0,1,1,0.0,1,29,20.0,0.0
0.0,213,4.71,2.0,0,0,0,0.0,0,0,0.0,1,52,1.0,0.0
1.0,172,7.5,2.0,9,4,38,1.0,0,0,1.0,0,135,1.0,0.0
0.0,167,3.125,2.0,0,0,65,0.0,1,2,1.0,1,68,5.0,0.0
1.0,92,2.75,2.0,7,3,51,1.0,1,6,0.0,1,64,601.0,1.0
1.0,62,0.54,1.0,13,3,1,1.0,1,1,1.0,1,166,60.0,1.0
1.0,190,3.0,2.0,12,6,102,1.0,0,0,1.0,1,0,1.0,1.0
1.0,301,3.0,1.0,0,0,36,0.0,0,0,0.0,1,62,5.0,0.0
0.0,162,1.5,2.0,0,0,0,0.0,1,2,1.0,1,68,106.0,0.0
1.0,223,0.705,2.0,7,3,9,0.0,1,2,0.0,1,79,501.0,0.0
1.0,230,1.71,2.0,13,3,3,1.0,1,5,1.0,1,148,1.0,1.0
1.0,23,2.46,2.0,7,5,24,0.0,1,2,1.0,1,52,588.0,0.0
1.0,228,5.0,2.0,12,3,72,1.0,1,10,1.0,1,0,1.0,1.0
1.0,41,11.045,2.0,7,3,46,0.0,0,0,1.0,1,43,1.0,0.0
1.0,175,2.335,2.0,1,6,94,0.0,0,0,1.0,1,100,1.0,0.0
1.0,28,5.71,2.0,1,3,14,0.0,0,0,0.0,1,37,1.0,0.0
0.0,3,7.625,2.0,10,3,3,0.0,1,1,1.0,1,0,161.0,0.0
1.0,232,5.875,2.0,12,6,114,1.0,1,14,1.0,1,129,1.0,1.0
0.0,38,0.665,2.0,8,3,40,0.0,0,0,0.0,1,76,6.0,0.0
1.0,55,10.5,2.0,7,3,64,1.0,0,0,1.0,1,0,1.0,1.0
0.0,71,0.75,2.0,7,3,46,0.0,1,2,1.0,1,68,395.0,0.0
1.0,102,3.25,2.0,7,6,52,0.0,1,1,1.0,1,134,22.0,0.0
1.0,52,10.085,1.0,9,6,30,0.0,0,0,0.0,1,91,1.0,0.0
0.0,290,1.5,2.0,4,2,0,1.0,0,0,1.0,1,31,28.0,0.0
1.0,48,5.29,2.0,10,3,9,1.0,1,1,0.0,1,52,1.0,0.0
0.0,39,0.21,2.0,10,6,7,1.0,1,11,0.0,1,23,100.0,1.0
1.0,61,0.25,2.0,1,6,17,1.0,0,0,1.0,1,0,1.0,1.0
1.0,115,0.54,2.0,3,0,0,0.0,0,0,0.0,1,31,1.0,0.0
