V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,label
158.3204,39.2128,3.7778,0.1924,0.0832,-86.5226,-173.964,24.5611,54.0202,337.2973,1
51.9981,21.2618,2.8598,0.2602,0.1469,-28.0626,-49.9233,18.7688,83.4293,246.4931,1
173.9607,70.6821,3.684,0.2145,0.1017,-129.6466,-158.1627,-25.6595,41.9359,364.5721,1
21.0502,7.5678,2.5478,0.5659,0.2794,-37.3213,8.6044,-9.6446,51.3267,209.2636,1
191.8036,49.7183,3.0006,0.2093,0.1225,146.2148,143.6098,31.6216,44.3492,245.4199,1
42.3471,23.6253,3.0197,0.2876,0.1581,-17.2024,-47.3029,-15.5002,59.389,46.616,0
81.8952,31.9264,3.2236,0.1619,0.0834,-80.7121,67.1423,15.948,4.362,258.886,0
22.9882,12.3155,2.6037,0.5978,0.4172,16.2683,19.6494,10.2916,40.238,208.699,1
86.5927,25.3707,3.3143,0.177,0.0934,-108.693,73.6483,-18.1849,1.489,221.341,0
20.6036,7.2364,2.0394,0.7032,0.3699,1.0823,-7.7699,5.8712,75.0703,99.2704,0
119.83,55.8508,3.3754,0.126,0.0651,-37.0703,-128.267,46.3277,77.7234,41.0992,1
25.5753,14.7931,2.6091,0.46,0.294,-1.9189,-24.7612,2.6348,79.453,241.5,1
37.2705,7.4475,2.3493,0.4698,0.2662,-24.2342,-19.2888,-4.242,16.857,220.082,0
35.0604,26.8094,2.8112,0.3166,0.1598,14.266,18.5099,26.258,85.5947,134.219,1
19.3677,16.6452,2.42,0.4411,0.2338,1.398,-8.2798,7.2769,41.666,213.354,1
18.1158,10.4259,2.3655,0.6121,0.3384,21.7377,11.1294,-4.8886,47.2489,144.116,0
58.6083,27.0816,3.2598,0.2468,0.1262,25.4293,47.4135,29.0911,0.558,265.44,0
20.1268,7.1811,2.2028,0.7649,0.3856,-22.3863,-11.9981,-5.2973,83.1571,69.4201,1
95.6926,24.6683,3.328,0.1913,0.1017,39.4864,103.942,-5.0639,7.0973,226.194,0
94.4168,49.0657,3.1188,0.3661,0.1848,-63.7363,-103.5011,38.2095,29.9524,409.2248,1
49.966,15.6007,2.7745,0.274,0.1437,-27.6454,-32.4918,12.2559,28.521,27.2958,1
31.2328,14.1452,2.6107,0.5454,0.3454,5.3276,12.9491,18.4301,44.5937,173.4713,1
23.837,15.2526,2.5038,0.4545,0.2335,-5.1678,-17.3233,-15.4995,3.0071,98.0224,1
22.6971,9.2923,2.4245,0.5784,0.3543,-3.2073,24.0526,8.85,78.5135,163.2642,1
35.9113,4.2216,2.6242,0.4858,0.2835,24.4022,-14.2679,-10.2569,40.0241,202.3074,1
62.4082,25.2008,2.9146,0.2033,0.1041,4.1328,31.9218,-22.6444,6.2553,265.65,0
24.1699,18.731,2.5691,0.4239,0.2157,42.5855,6.7161,-13.4043,5.1352,193.7732,1
55.0304,26.4331,2.8287,0.2953,0.155,-67.7377,27.1398,-16.1175,8.2667,274.001,0
49.9884,18.3477,2.9983,0.2018,0.1019,-6.3434,28.8756,11.7644,4.2187,187.793,0
31.9031,23.5254,2.8146,0.259,0.1341,-26.3318,-17.8449,13.4901,42.0116,113.319,0
26.5291,15.9191,2.5988,0.4005,0.2481,24.6018,21.35,9.8111,1.578,84.1926,0
99.3183,9.0335,2.471,0.5602,0.3311,-99.9175,32.9048,-0.4232,33.1973,228.4047,1
34.6968,18.8589,2.7164,0.4131,0.2277,37.129,22.924,-14.6888,10.225,194.631,0
251.9646,42.7452,2.7769,0.2182,0.0907,-210.8118,-121.5447,14.1879,47.2145,170.0592,1
149.8522,46.9361,3.2299,0.1746,0.0936,226.8701,-120.6832,19.2565,60.4394,155.0349,1
26.8185,14.5104,2.3473,0.4809,0.2539,8.8297,17.5697,15.8854,68.33,29.2585,1
143.6761,63.4661,3.1758,0.3169,0.2086,-152.436,103.9792,42.9408,36.4825,353.2618,1
19.9633,12.0698,2.4601,0.565,0.3345,22.3561,15.1449,-10.2549,37.8944,158.387,1
72.5506,21.7566,3.0922,0.2208,0.1306,24.1691,77.8412,-7.8982,18.6144,180.832,0
36.0699,15.0459,2.7976,0.2948,0.1602,2.2124,22.3355,-10.2402,4.5385,210.714,0
108.681,36.4744,4.0803,0.1044,0.0548,-88.9111,80.6891,-15.9598,1.053,310.641,0
112.7716,8.4152,2.4899,0.6626,0.3489,-150.4698,93.1629,-12.6108,65.6261,220.8814,1
55.9614,15.7893,2.7447,0.3895,0.2109,31.2455,35.1794,16.8186,17.8245,247.9746,1
214.789,29.542,2.9861,0.2364,0.1358,-98.5757,-186.337,24.2856,10.652,232.448,1
21.2664,15.6519,2.7033,0.4812,0.2584,1.585,17.809,15.0612,51.8789,38.7206,0
48.4646,21.1239,3.2146,0.2508,0.1412,28.3303,43.5391,8.5129,13.183,270.749,0
39.0348,19.4764,2.6754,0.2948,0.1648,36.0968,6.7564,10.419,81.0166,229.4088,1
126.634,65.2359,4.3615,0.0547,0.0275,36.6744,108.946,47.2243,65.741,246.46,1
21.4644,15.6017,2.7746,0.4275,0.2317,23.879,16.7081,9.193,8.2347,113.9438,1
20.6361,10.7013,2.2601,0.6264,0.3159,16.4647,17.3129,3.969,2.0956,124.365,0
169.7112,53.3915,3.4856,0.1767,0.0783,-158.2235,72.8709,-45.0246,2.1067,189.2079,1
96.8365,18.7737,3.0763,0.2005,0.1036,37.3768,93.4159,-16.7148,7.8896,265.573,0
20.8219,18.8425,2.8182,0.3906,0.2166,-5.7112,-11.8752,3.7412,7.4814,204.29,0
34.2121,22.032,2.638,0.3383,0.1899,31.7717,32.8566,11.4392,7.337,61.5099,0
55.732,14.3207,2.6994,0.4456,0.3167,10.9849,47.0535,8.8235,3.4037,220.98,0
72.1747,9.7887,2.9621,0.3013,0.1267,73.2587,34.1685,5.9555,29.0584,165.1348,1
63.1221,35.8997,3.2316,0.1808,0.0743,5.8723,-44.0632,36.3366,56.3522,186.804,1
36.744,16.6424,2.6542,0.3725,0.2317,-3.7691,31.0401,8.1484,25.831,187.835,0
24.7867,22.2327,2.8319,0.2946,0.1583,-14.3863,20.5592,10.9994,39.2593,186.727,0
27.9799,13.511,2.4735,0.521,0.2706,-8.1767,-19.0081,-12.6245,3.9151,97.8411,0
65.7997,17.2262,2.8716,0.2621,0.1418,-66.3448,51.1221,14.5488,2.8883,275.139,0
36.2174,17.4475,2.8041,0.3454,0.1939,20.3095,24.7243,9.5885,3.713,202.864,0
60.2423,17.5709,2.7889,0.2715,0.1585,-48.9314,-48.0945,15.3258,30.2907,187.106,0
27.4852,17.0142,2.6542,0.3747,0.1874,3.743,24.416,-6.0413,6.422,63.0075,0
67.2695,16.9279,3.0273,0.231,0.13,52.4954,45.3107,-13.2702,44.345,221.19,1
27.5928,12.1125,2.4786,0.485,0.2807,-20.2481,13.3007,-8.2076,8.947,129.518,0
36.6822,21.2057,2.7308,0.2714,0.1422,37.6491,12.507,10.4837,9.2874,140.928,0
46.4747,26.2463,2.9093,0.451,0.2877,31.0883,46.2872,-18.634,52.4001,153.742,1
25.7838,13.3367,2.4624,0.4793,0.281,11.6139,14.928,-9.3009,20.3804,148.372,1
49.6425,9.84,2.4961,0.5485,0.2908,-53.4067,-42.9702,-10.796,26.7642,249.1974,1
33.1706,15.5717,2.667,0.3918,0.253,31.8744,20.7756,7.7843,7.608,170.48,0
18.1898,17.1594,2.3589,0.4945,0.2473,0.2891,5.3279,17.334,2.5785,104.287,0
45.0761,17.3888,2.791,0.3042,0.161,15.3181,29.0213,6.1818,55.8688,190.582,1
12.9131,11.3783,2.0986,0.741,0.3785,-15.0376,4.2909,11.7179,84.6315,111.695,0
24.226,18.1064,2.5289,0.3728,0.1997,15.7258,-13.5556,11.3862,2.572,223.795,0
26.4554,16.9124,2.8366,0.335,0.1741,14.8868,-10.4256,5.2201,88.1553,99.3337,0
24.0591,17.4114,2.4901,0.4653,0.289,23.931,26.738,16.7825,60.2985,189.3727,1
43.3717,34.225,3.3154,0.2036,0.1129,1.6245,29.3569,-28.7441,5.7268,110.342,0
29.279,16.1532,2.4933,0.4128,0.2381,34.8626,21.0419,-9.7169,12.1098,95.4989,1
124.4561,25.3229,3.3427,0.1508,0.0736,68.506,68.1273,28.0317,57.5178,237.2386,1
119.5765,39.0866,3.7943,0.1156,0.0557,15.3892,-32.0839,19.561,12.9172,175.218,1
16.0903,14.9731,2.4472,0.6647,0.4495,7.8755,0.4658,-14.032,32.6021,238.7609,1
116.6896,71.7364,3.237,0.2074,0.1018,-75.9321,-56.2652,63.4859,71.8786,322.775,1
37.1373,14.7676,2.6096,0.2998,0.156,28.6701,8.1654,-3.8097,11.6063,166.829,0
71.2022,24.2213,3.0717,0.2221,0.1259,16.4896,58.4799,12.5124,3.0778,261.88,0
26.5854,12.0168,2.6037,0.4907,0.2852,-17.7408,13.8107,5.17,66.837,258.36,1
31.9845,20.2225,2.7638,0.2894,0.1611,39.0465,22.3686,3.6706,41.1956,220.921,1
18.0376,10.1857,2.48,0.4676,0.2715,2.5402,15.6146,-12.0983,75.8844,193.7465,1
29.4301,15.8254,2.7223,0.4072,0.2082,34.3167,31.2613,-4.6801,0.9533,221.9073,1
84.1395,62.2117,3.5393,0.1137,0.0688,2.6726,81.6349,-36.8499,21.5273,121.4221,1
90.3442,22.2941,3.1725,0.242,0.1382,-51.5174,72.4403,-16.1473,2.8697,278.854,0
101.236,18.7607,2.8516,0.2745,0.1414,-56.2555,-70.376,-5.4218,81.3618,154.153,1
28.3396,6.8049,2.2175,0.5636,0.2879,-8.3458,-15.8779,1.7177,35.715,138.106,0
86.7913,29.3805,3.5011,0.2741,0.1642,36.5091,43.5311,12.0049,2.284,375.966,0
27.8545,8.0432,2.2201,0.5783,0.2922,-14.4813,16.6641,2.9849,64.398,182.43,1
17.2632,10.7598,2.4393,0.6255,0.38,1.4736,-5.9904,7.4399,43.542,38.2934,0
72.3434,24.8566,2.8069,0.2761,0.1396,41.1614,77.3764,-9.0058,79.886,87.5884,0
49.6147,25.7584,3.2715,0.2151,0.1292,52.3369,49.3716,-12.6769,1.3872,239.75,0
107.903,19.1206,3.0122,0.281,0.1842,-32.9016,67.7805,18.5236,0.101,328.728,0
21.891,6.8045,2.0881,0.7102,0.3633,-25.5749,-6.672,6.6325,35.1373,96.1175,0
52.8604,29.7645,3.0961,0.1968,0.1275,86.4579,33.9103,33.9156,86.6591,213.4696,1
31.0619,11.6274,2.5563,0.4667,0.2403,-41.3141,7.6668,-8.4457,22.822,128.797,0
86.2919,35.9168,3.0101,0.2618,0.1383,6.1267,80.4035,-25.2309,81.0424,125.514,1
13.0893,11.0311,2.1222,0.7623,0.4113,-14.7038,4.5016,-11.6194,9.8482,106.086,0
168.9167,24.1899,2.7354,0.3443,0.1691,-235.6526,156.3105,17.4115,29.3893,253.3268,1
73.336,23.6134,2.9516,0.2918,0.1504,-37.7816,14.5381,-21.14,2.9936,303.784,0
25.7487,13.2539,2.4742,0.4899,0.3138,-22.7705,-24.1897,-8.052,24.031,118.694,0
27.3898,25.6871,2.9607,0.2868,0.1615,1.8302,-14.7219,11.1832,73.467,18.578,0
33.3747,16.9277,2.5623,0.3589,0.1795,44.1889,20.9917,14.4195,13.511,232.175,0
70.69,20.5861,2.8865,0.2896,0.1474,-88.0805,37.3382,-10.6598,1.638,252.56,0
95.5716,29.1767,3.3524,0.2212,0.1224,-5.6521,-7.9173,-14.2512,0.239,354.169,0
72.5175,60.6466,3.5614,0.1599,0.0849,40.7764,56.9624,-23.7941,81.992,328.7533,1
79.3454,44.406,3.235,0.1879,0.1038,29.2943,55.6687,42.4356,29.2167,240.9534,1
35.8791,20.5591,2.7716,0.3198,0.1616,-33.3079,7.2215,-15.632,10.257,127.459,0
31.3874,10.1213,2.6042,0.4726,0.255,-17.6592,10.7738,4.7319,53.3396,37.0972,0
21.5684,9.8547,2.4749,0.6767,0.3668,-10.3923,-13.8627,7.87,16.1003,71.1814,0
106.8495,30.4575,3.2882,0.1341,0.0692,70.971,118.0923,19.0807,80.917,191.4655,1
52.2858,11.4032,2.8582,0.3714,0.2363,67.0678,28.4872,-2.9733,32.1876,202.308,1
80.2647,60.9091,3.4741,0.1624,0.0885,32.1107,-80.3272,38.211,21.0583,200.6006,1
23.6627,12.2118,2.534,0.4503,0.2266,9.6127,15.0243,7.5501,30.914,182.948,1
22.3842,19.6795,2.7828,0.3298,0.1756,-17.1679,-12.5413,11.0567,13.5342,72.0504,0
18.7961,10.2594,2.233,0.5497,0.3129,-23.5494,-9.8311,-2.0507,82.2426,211.826,0
19.8356,11.4295,2.4116,0.5891,0.3004,19.3867,19.0913,9.9913,24.926,130.39,0
59.8099,30.7612,3.7199,0.1511,0.0794,25.0223,49.3329,-14.5647,1.0275,174.979,0
17.264,9.5686,2.3383,0.5855,0.3556,-3.0337,8.7888,5.3275,58.6985,189.7578,1
23.9882,15.7351,2.3627,0.7313,0.3967,9.7435,19.7956,11.3523,26.8717,164.9807,1
24.7592,12.2102,2.5944,0.43,0.243,11.8064,10.4869,5.0697,7.219,159.861,1
17.6269,10.6514,2.29,0.6103,0.3615,-1.0927,5.9135,7.0149,25.2015,143.435,0
20.9428,12.44,2.3953,0.4789,0.2596,27.4178,9.3586,9.3778,60.023,67.208,0
138.7009,59.5848,3.3777,0.1424,0.0783,-133.1788,-105.5152,36.5444,75.9359,134.1912,1
33.0135,12.9288,2.4183,0.416,0.2309,-44.1834,15.9759,5.7684,5.177,226.568,0
31.022,18.0006,2.6861,0.4839,0.2757,6.6471,25.9397,-0.3008,76.8234,188.3716,1
98.4893,38.6759,3.9381,0.1391,0.0814,-52.4502,61.9751,13.9793,4.909,347.456,0
44.2256,19.3192,2.7513,0.2996,0.1516,38.4027,19.0718,6.3077,4.217,205.962,0
111.436,43.329,3.5299,0.1641,0.0843,-97.5,-38.8263,36.8736,10.884,341.008,1
38.8946,23.2908,2.9538,0.2614,0.1351,-22.3629,-23.8829,-9.8954,69.1178,98.1642,1
20.2988,15.9184,2.7024,0.5417,0.2986,3.2906,-13.2045,13.1943,13.392,136.112,1
19.5897,12.04,2.3222,0.6524,0.35,8.0081,20.162,-8.6653,84.1116,172.357,1
25.4825,11.4624,2.4224,0.552,0.2854,-12.7289,-13.2584,-11.6033,2.5804,243.243,0
11.6825,0.6564,2.4734,0.648,0.3579,-7.2487,3.3382,-7.9869,34.996,208.97,1
160.072,74.9644,3.4961,0.1726,0.1157,-199.787,-135.083,-89.147,31.7505,249.771,1
29.6454,16.3944,2.74,0.384,0.2375,29.5121,24.4856,7.9872,25.0017,184.905,0
29.624,22.561,2.8506,0.244,0.1375,0.8727,18.0119,7.4675,1.1537,120.834,0
41.0662,9.2465,2.281,0.6073,0.3272,27.5327,19.7613,6.7821,2.123,79.1334,1
38.2154,15.328,2.7774,0.4524,0.2479,16.4993,25.9978,13.6191,79.448,219.851,1
84.7453,26.8882,3.6902,0.1567,0.0972,-87.0432,71.3852,-16.1436,5.3995,243.507,0
79.7198,25.455,3.472,0.1251,0.0629,96.473,65.5872,-16.873,2.8691,233.092,0
18.7801,12.7489,2.4385,0.5683,0.3005,14.6127,13.6885,-6.362,84.5089,40.3003,0
77.8184,27.4015,3.7514,0.1469,0.0798,37.2879,71.6719,18.0313,7.111,202.141,0
157.3766,65.3196,3.0305,0.2259,0.0927,301.1996,-161.9202,54.5743,72.6454,157.122,1
46.3735,22.7618,2.798,0.3003,0.1489,12.7939,15.4585,6.6745,65.4746,90.0872,1
20.435,18.0164,2.6575,0.429,0.2409,16.1002,-13.9636,-14.0476,27.7485,231.706,0
21.5669,17.6416,2.5465,0.446,0.2741,3.5979,17.7038,16.0627,45.454,101.997,0
49.8255,30.7355,2.8974,0.2584,0.14,-65.1137,-31.1872,18.5815,14.911,300.164,0
56.3758,19.6173,3.1861,0.2072,0.1215,53.4752,41.4943,-12.426,1.039,173.496,0
30.3926,0.0,2.248,0.6158,0.3927,10.1696,20.6071,0.0,0.0,100.169,0
20.5893,4.4121,1.9468,0.747,0.3685,26.8523,9.2431,7.435,51.5765,35.1912,1
12.871,9.8459,2.2516,0.7899,0.5686,11.2062,8.4149,-5.4993,40.035,146.03,0
101.216,25.0589,3.3925,0.1823,0.0974,49.5071,114.48,19.6086,0.561,153.433,0
24.0448,11.0076,2.4273,0.5942,0.3539,16.4575,13.9629,-10.0951,21.9218,170.7762,1
32.3347,8.7516,2.5575,0.4709,0.2479,23.7103,12.328,-2.1559,48.4534,127.043,1
27.271,16.8564,2.747,0.3491,0.1782,5.6719,-16.9429,8.4421,88.1063,175.848,1
21.4681,6.9755,2.2028,0.6834,0.3542,25.3638,7.4423,6.4396,63.031,172.977,0
58.8849,6.1495,2.9987,0.3532,0.1792,75.8138,40.2106,2.1501,25.2695,237.1721,1
35.8521,21.4939,2.8579,0.2968,0.2004,-26.1679,-24.1268,14.3675,10.894,233.995,0
28.5749,9.4561,2.4256,0.5427,0.3178,-12.9299,-16.6155,-11.8846,51.6158,67.3931,1
21.691,6.7773,2.1658,0.7099,0.413,-23.0895,-12.7144,6.5257,40.2519,103.417,0
69.0482,15.9119,2.9167,0.252,0.1423,-133.608,62.8196,-11.7357,5.638,288.171,0
40.9012,14.8358,2.5244,0.3677,0.1868,-69.2629,30.897,-12.1868,5.741,292.578,0
28.0265,21.1806,2.7222,0.3261,0.1678,33.2502,18.0988,12.5402,6.0783,137.457,0
53.3599,23.0908,3.3304,0.1888,0.11,35.6367,28.5136,11.6074,2.4208,185.795,0
17.5764,10.8668,2.3945,0.5927,0.3085,-2.858,8.6927,-5.6742,50.6709,116.39,1
62.6759,21.0229,3.0249,0.2576,0.125,-19.5767,28.9469,-10.2818,41.7178,155.8542,1
29.9042,22.6803,2.9031,0.2562,0.1319,7.8367,-14.9016,-15.0364,27.191,116.186,0
12.6838,11.6957,2.3233,0.6983,0.3919,-15.7928,9.6501,-5.1802,78.178,154.367,0
70.7387,25.1711,3.3359,0.1906,0.1068,-103.747,44.2436,-19.0346,1.415,236.721,0
108.8548,22.8127,2.9802,0.2196,0.1136,-209.1333,111.3243,12.4662,61.0441,166.9123,1
132.794,56.7609,3.2507,0.1696,0.0851,72.791,159.265,28.2525,68.8075,162.143,1
61.6933,18.0011,2.9015,0.276,0.1449,47.4507,38.9838,13.6166,2.926,234.109,0
24.0693,0.0,2.5321,0.7195,0.3715,27.2689,13.2176,0.0,26.629,231.863,1
19.5279,9.3415,2.5587,0.6354,0.4075,20.6116,13.8569,-3.9329,64.078,217.634,1
81.0999,20.1503,3.1903,0.3768,0.2248,5.7235,51.9805,-7.3353,5.3011,335.422,1
59.6244,14.5995,2.905,0.402,0.2483,39.4524,50.7317,5.2481,11.179,271.542,1
21.4297,10.5062,2.5601,0.6384,0.4393,-3.75,17.368,-11.3864,7.4151,151.917,1
131.039,84.4568,3.8528,0.1023,0.0534,-18.8411,131.98,-57.5689,80.4261,340.23,1
127.0587,37.0133,3.4581,0.1948,0.1108,-10.8684,-75.8361,-8.1514,3.5732,329.4471,1
4.2835,3.887,2.3478,0.8745,0.6158,4.9461,4.5045,-14.1755,21.7552,229.9191,1
109.012,53.269,2.9455,0.2086,0.1117,-75.3077,101.821,38.1466,8.8183,289.219,1
170.743,101.479,3.9528,0.1042,0.0582,-58.2791,-143.024,29.7954,63.52,190.415,1
18.544,10.1643,2.3729,0.6186,0.3453,-21.9272,-11.4336,-5.0737,17.2844,166.498,1
227.184,22.5405,2.9325,0.4474,0.3102,-264.034,135.869,9.4616,48.219,265.238,1
24.3394,12.7452,2.5821,0.5105,0.3233,9.8966,13.646,-3.7776,51.276,232.795,1
194.8482,169.6876,3.5132,0.1343,0.0995,-236.5186,-163.0125,-97.3015,1.1486,197.8866,1
61.0809,11.3314,2.8912,0.3594,0.1866,18.274,25.7627,-9.1619,76.3962,61.8098,1
12.9752,11.1326,2.1717,0.7475,0.4343,14.491,-6.7709,10.2644,66.9514,111.267,1
58.7548,13.396,2.5359,0.425,0.2722,-79.1905,38.5619,7.4865,4.992,283.17,0
93.4633,18.8533,3.1858,0.3768,0.2044,-113.252,-63.7816,11.0661,16.314,393.805,1
48.4338,22.9487,2.972,0.2219,0.1221,58.4819,38.9124,16.126,1.0711,189.115,0
19.7452,12.6244,2.4191,0.5181,0.2724,-17.0574,-12.5602,6.6642,86.9934,68.2801,1
35.8815,16.4234,2.4997,0.3924,0.1978,44.8964,-12.3575,10.0959,12.4385,166.373,0
62.2006,39.0258,3.3682,0.1658,0.0902,54.5569,54.4875,37.7485,75.0343,195.845,1
38.428,13.1662,2.658,0.378,0.1945,-6.189,18.6374,8.3616,11.2076,161.266,0
111.372,43.2331,3.5877,0.2574,0.1405,8.0994,-113.263,27.1425,8.486,372.951,1
169.747,32.3063,2.8218,0.6089,0.3519,-113.936,-155.558,7.5552,12.4205,253.122,1
84.3102,35.0643,3.9292,0.1366,0.0739,-66.2563,72.1546,19.5836,0.147,294.503,0
33.3331,17.4154,3.1432,0.3013,0.1514,-12.3452,20.3642,10.9383,8.866,153.997,0
66.3173,37.1935,3.0145,0.3259,0.1678,-88.1575,44.5534,25.3617,4.738,274.443,1
66.4031,32.2578,3.6349,0.1384,0.071,57.4468,48.7189,26.0972,9.4551,224.235,0
88.5408,29.5442,3.5244,0.1456,0.0782,54.9593,76.142,20.9048,2.2359,251.154,0
35.574,31.565,2.9243,0.1964,0.1006,21.6253,19.035,23.5926,80.6784,267.316,1
37.1788,20.4076,2.5447,0.3252,0.184,-35.7474,-26.9113,-12.3988,11.6695,149.369,0
37.8354,21.0487,2.5105,0.4475,0.2423,14.4717,28.183,7.7546,13.932,304.316,0
187.4964,46.6158,3.2851,0.1569,0.0918,-171.7333,-76.7201,52.3407,54.8226,89.5007,1
22.231,11.8873,2.4631,0.5508,0.3391,26.0955,10.6926,-7.5324,25.929,183.843,0
76.0088,21.9286,2.7563,0.3418,0.2235,-96.0812,46.8498,19.7885,42.611,210.972,1
25.8724,13.4735,2.1845,0.7215,0.4289,13.6769,-13.675,-8.0402,4.6845,120.8897,1
102.3913,69.4088,2.75,0.3066,0.1533,-73.3991,-106.6677,-19.608,29.2534,401.1182,1
13.0633,10.8801,2.0952,0.7631,0.4538,-14.0036,4.9914,10.4674,22.795,47.5687,0
72.9495,25.0803,2.9196,0.1998,0.1017,63.4439,50.6258,-22.3897,82.1398,106.639,0
91.6774,32.7119,3.6197,0.2403,0.136,7.8062,61.0854,20.3299,3.4717,369.271,0
19.5649,9.767,2.2672,0.5676,0.2946,-25.4222,-6.3994,4.4378,33.364,187.651,1
13.1298,10.9426,2.1319,0.7675,0.417,14.6057,-3.9424,-11.6259,21.8775,67.1323,0
78.696,24.65,2.5673,0.2658,0.1756,-22.9674,-73.197,-13.3549,37.6947,38.8639,1
31.0864,18.5673,2.6767,0.4168,0.2768,17.5192,24.088,16.6905,32.0528,144.293,0
20.9074,7.1656,2.1973,0.6794,0.3524,-0.187,4.469,-6.1032,45.8552,223.063,1
60.8587,23.1061,3.3442,0.263,0.132,-60.2013,49.0632,14.4724,0.7451,270.195,0
16.2619,12.1167,2.5951,0.5579,0.3602,18.9248,18.9639,-11.2498,9.3681,147.8869,1
53.3449,13.6422,2.9626,0.3117,0.1662,62.9103,36.9502,-8.922,48.2938,238.475,1
77.9433,29.7856,3.5741,0.1797,0.0916,-86.0801,67.6426,-22.1034,5.9725,242.953,0
23.8423,12.5932,2.3838,0.4132,0.2169,18.8385,12.8007,6.4597,31.192,233.835,0
13.0592,11.0857,2.1156,0.7586,0.41,-14.7393,4.913,-11.5702,77.476,227.178,0
48.7524,13.5038,2.8215,0.3424,0.2119,-8.2198,-30.4735,5.9383,6.9178,200.104,0
27.9558,12.6356,2.3738,0.5032,0.2854,20.4323,9.3493,9.0105,28.2901,154.563,0
36.6668,22.2536,2.6415,0.3333,0.1952,-9.8802,-30.394,15.1385,57.928,255.922,1
18.7276,12.9777,2.4401,0.5082,0.2632,-12.8933,-8.3487,-5.2782,79.2348,197.866,0
59.2224,11.9014,2.8719,0.2525,0.1283,-25.6841,16.0284,-10.7358,87.7284,230.66,1
29.9916,11.2395,2.2585,0.487,0.28,9.2499,12.8682,-7.226,4.1274,94.8653,1
43.7585,20.8924,2.9206,0.2905,0.1519,-23.9941,-35.1911,16.3826,8.3799,211.69,0
24.2645,13.0711,2.558,0.5728,0.3846,14.607,11.4937,13.6588,12.2864,255.6856,1
38.0195,12.6736,2.8747,0.4084,0.1928,-51.484,8.3471,7.962,24.5402,163.8674,1
57.1342,17.0415,3.2002,0.2151,0.1088,22.2337,44.1026,-4.7512,0.7289,229.847,0
89.946,20.1616,3.1041,0.273,0.1412,65.3107,47.271,12.007,27.74,320.482,1
